Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
1/1/2018 8:00:00 AM,True,True,74.5,73,76
1/2/2018 8:00:00 AM,True,True,93.5,90,97
1/3/2018 8:00:00 AM,True,True,85,84,86
1/4/2018 8:00:00 AM,True,True,86,82,90
1/5/2018 8:00:00 AM,True,True,78.5,79,78
1/6/2018 8:00:00 AM,True,True,81.5,77,86
1/7/2018 8:00:00 AM,True,True,74,72,76
1/8/2018 8:00:00 AM,True,True,86.5,84,89
1/9/2018 8:00:00 AM,True,True,74,84,64
1/10/2018 8:00:00 AM,True,True,87.5,84,91
1/11/2018 8:00:00 AM,True,True,86.5,84,89
1/12/2018 8:00:00 AM,True,True,84.5,87,82
1/13/2018 8:00:00 AM,True,True,74.5,77,72
1/14/2018 8:00:00 AM,True,True,76,76,76
1/15/2018 8:00:00 AM,True,True,87,85,89
1/16/2018 8:00:00 AM,True,True,77,72,82
1/17/2018 8:00:00 AM,True,True,83,82,84
1/18/2018 8:00:00 AM,True,True,84,82,86
1/19/2018 8:00:00 AM,True,True,78.5,76,81
1/20/2018 8:00:00 AM,True,True,87,72,102
1/21/2018 8:00:00 AM,True,True,93,85,101
1/22/2018 8:00:00 AM,True,True,89,87,91
1/23/2018 8:00:00 AM,True,True,86.5,86,87
1/24/2018 8:00:00 AM,True,True,93,88,98
1/25/2018 8:00:00 AM,True,True,86.5,79,94
1/26/2018 8:00:00 AM,True,True,81,75,87
1/27/2018 8:00:00 AM,True,True,95,90,100
1/28/2018 8:00:00 AM,True,True,103,100,106
1/29/2018 8:00:00 AM,True,True,89.5,85,94
1/30/2018 8:00:00 AM,True,True,98,94,102
1/31/2018 8:00:00 AM,True,True,85.5,83,88
2/1/2018 8:00:00 AM,True,True,92,91,93
2/2/2018 8:00:00 AM,True,True,57,22,92
2/3/2018 8:00:00 AM,True,True,99,92,106
2/4/2018 8:00:00 AM,True,True,87.5,84,91
2/5/2018 8:00:00 AM,True,True,92.5,89,96
2/6/2018 8:00:00 AM,True,True,99.5,92,107
2/7/2018 8:00:00 AM,True,True,93.5,92,95
2/8/2018 8:00:00 AM,True,True,95,90,100
2/9/2018 8:00:00 AM,True,True,81,81,81
2/10/2018 8:00:00 AM,True,True,75,73,77
2/11/2018 8:00:00 AM,True,True,95.5,91,100
2/12/2018 8:00:00 AM,True,True,98.5,95,102
2/13/2018 8:00:00 AM,True,True,92.5,89,96
2/14/2018 8:00:00 AM,True,True,90,89,91
2/15/2018 8:00:00 AM,True,True,100,98,102
2/16/2018 8:00:00 AM,True,True,79,76,82
2/17/2018 8:00:00 AM,True,True,100,96,104
2/19/2018 8:00:00 AM,True,True,117.5,131,104
2/20/2018 8:00:00 AM,True,True,246.5,392,101
2/21/2018 8:00:00 AM,True,True,95.5,96,95
2/22/2018 8:00:00 AM,True,True,95,97,93
2/23/2018 8:00:00 AM,True,True,93.5,97,90
2/24/2018 8:00:00 AM,False,True,88,97,88
2/25/2018 8:00:00 AM,False,True,96,97,96
2/26/2018 8:00:00 AM,True,True,91,90,92
2/27/2018 8:00:00 AM,True,True,98,88,108
2/28/2018 8:00:00 AM,True,True,94,88,100
3/1/2018 8:00:00 AM,True,True,91,86,96
3/2/2018 8:00:00 AM,True,True,84.5,83,86
3/3/2018 8:00:00 AM,True,True,82.5,80,85
3/4/2018 8:00:00 AM,True,True,85.5,80,91
3/5/2018 8:00:00 AM,True,True,91,84,98
3/6/2018 8:00:00 AM,True,True,88.5,88,89
3/7/2018 8:00:00 AM,True,True,84,74,94
3/8/2018 8:00:00 AM,True,True,83.5,83,84
3/9/2018 8:00:00 AM,True,True,82,82,82
3/10/2018 8:00:00 AM,True,True,92,88,96
3/11/2018 8:00:00 AM,True,True,87,81,93
3/12/2018 8:00:00 AM,True,True,88.5,91,86
3/13/2018 8:00:00 AM,True,True,87.5,85,90
3/14/2018 8:00:00 AM,True,True,90,86,94
3/15/2018 8:00:00 AM,True,True,89.5,87,92
3/16/2018 8:00:00 AM,True,True,84,82,86
3/17/2018 8:00:00 AM,True,True,86,85,87
3/18/2018 8:00:00 AM,True,True,92.5,88,97
3/19/2018 8:00:00 AM,True,True,93.5,88,99
3/20/2018 8:00:00 AM,True,True,84.5,81,88
3/21/2018 8:00:00 AM,True,True,83,74,92
3/22/2018 8:00:00 AM,True,True,82,77,87
3/23/2018 8:00:00 AM,True,True,85.5,86,85
3/24/2018 8:00:00 AM,True,True,86.5,84,89
3/25/2018 8:00:00 AM,True,True,90.5,92,89
3/26/2018 8:00:00 AM,True,True,90.5,91,90
3/27/2018 8:00:00 AM,True,True,75,77,73
3/28/2018 8:00:00 AM,True,True,91.5,92,91
3/29/2018 8:00:00 AM,True,True,87,86,88
3/30/2018 8:00:00 AM,True,True,82,84,80
3/31/2018 8:00:00 AM,True,True,82.5,81,84
4/1/2018 8:00:00 AM,True,True,84,84,84
4/2/2018 8:00:00 AM,True,True,87,87,87
4/3/2018 8:00:00 AM,True,True,86.5,88,85
4/4/2018 8:00:00 AM,True,True,110.5,128,93
4/5/2018 8:00:00 AM,True,True,78.5,76,81
4/6/2018 8:00:00 AM,True,True,85,82,88
4/7/2018 8:00:00 AM,True,True,81,78,84
4/8/2018 8:00:00 AM,True,True,90,89,91
4/9/2018 8:00:00 AM,True,True,85,81,89
4/10/2018 8:00:00 AM,True,True,86,85,87
4/11/2018 8:00:00 AM,True,True,104,124,84
4/12/2018 8:00:00 AM,True,True,85,85,85
4/13/2018 8:00:00 AM,True,True,81.5,79,84
4/14/2018 8:00:00 AM,True,True,71,72,70
4/15/2018 8:00:00 AM,True,True,107.5,126,89
4/16/2018 8:00:00 AM,True,True,85,81,89
