,C0,C1,C2,t1,t2
10/8/2018 0:34,2.087172409,1.57,0.96,3.758042265,21.40138692
10/8/2018 2:25,2.127079123,1.62,0.88,4.709947938,27.34853518
10/8/2018 4:31,2.350247153,1.35,0.61,5.648195598,33.20026943
10/8/2018 6:31,2.002183912,1.21,0.39,6.847885276,40.67243816
10/8/2018 8:25,2.330869996,1.28,0.46,5.180037153,30.28145822
10/8/2018 10:33,1.886550401,1.3,0.76,3.885693408,22.19965978
10/8/2018 12:40,1.899709943,1.34,0.87,3.667820886,20.83701742
10/8/2018 14:29,2.024027998,1.3,0.8,3.812766465,21.74364028
10/8/2018 16:32,1.93124161,1.31,0.76,4.265415296,24.57279392
10/8/2018 18:30,1.945560338,1.12,0.66,4.747842911,27.58505052
10/8/2018 20:40,1.92355585,1.21,0.78,4.350319105,25.10313821
10/8/2018 22:35,1.937699243,1.22,0.51,3.824218734,21.81525819
10/9/2018 0:17,1.87857014,1.26,0.88,4.255258521,24.50934412
10/9/2018 2:20,1.941124314,1.06,0.71,5.708335864,33.57509071
10/9/2018 4:21,1.814801417,0.9,0.45,7.563441661,45.12512769
10/9/2018 6:29,1.998057588,0.99,0.38,9.338345334,56.16000405
10/9/2018 8:40,2.224782716,1.14,0.42,6.882507952,40.88794739
10/9/2018 10:25,1.88435853,1.5,0.73,4.544919144,26.31834493
10/9/2018 12:31,1.908419675,1.24,0.83,4.069978345,23.35164133
10/9/2018 14:31,1.953206646,1.34,0.76,4.402027391,25.42608377
10/9/2018 16:48,2.075244815,1.11,0.55,5.058528349,29.52356854
10/9/2018 18:25,2.011912063,1.14,0.63,5.082664192,29.67412289
10/9/2018 20:45,1.885640836,1.36,0.78,4.321744605,24.92466063
10/9/2018 22:15,1.879832238,1.2,0.88,3.914123848,22.37741509
10/10/2018 0:25,1.915758558,1.42,0.71,4.208876746,24.21957749
10/10/2018 2:20,1.914246618,0.99,0.42,6.650379442,39.44292892
10/10/2018 4:17,1.834254287,1.18,0.22,7.873929178,47.05641272
10/10/2018 6:25,1.89807225,1.08,0.24,8.756554517,52.5442488
10/10/2018 8:15,2.037458013,1.18,0.34,5.850728524,34.46243364
10/10/2018 10:47,1.929807524,1.36,0.78,4.167853573,23.96326376
10/10/2018 12:33,1.868954459,1.24,0.73,4.149490936,23.84852599
10/10/2018 14:25,1.946175037,1.19,0.69,4.487237984,25.95819564
10/10/2018 16:43,2.199229732,1.55,0.86,4.929935233,28.72133423
10/10/2018 18:37,2.22308679,1.62,0.82,5.136889812,30.01235046
10/10/2018 20:33,2.219761829,1.43,0.77,4.337356914,25.02217711
10/10/2018 22:31,2.221734884,1.51,1.15,3.926280397,22.45341746
10/11/2018 0:27,2.186259486,1.66,1.06,4.253809131,24.50028961
10/11/2018 2:26,2.161281911,1.58,0.81,5.454732977,31.99432368
10/11/2018 4:25,2.08288721,1.6,0.46,6.452278864,38.20948292
10/11/2018 6:29,2.197639984,1.34,0.28,8.888800033,53.36624208
10/11/2018 8:38,2.437517867,1.36,0.33,6.25938767,37.0082345
10/11/2018 10:32,2.241833468,1.7,0.97,4.838139971,28.14856185
10/11/2018 12:38,2.270232396,1.51,0.86,4.727807844,27.46000687
10/11/2018 14:36,2.235443354,1.38,0.7,5.611498374,32.97154157
10/11/2018 16:32,2.462402989,1.82,0.92,5.009807959,29.2196435
10/11/2018 18:22,2.361679544,1.86,1.06,5.216832873,30.51093746
10/11/2018 20:23,2.373996775,1.94,1.15,4.53542001,26.25903704
10/11/2018 22:25,2.462437893,1.94,1.31,3.904089296,22.31467764
10/12/2018 0:25,2.486908039,2.11,1.28,4.175225019,24.00932244
10/12/2018 2:21,2.493382783,1.89,1.07,5.31369577,31.11497063
10/12/2018 4:28,2.561280636,1.84,0.76,7.324765776,43.64021286
10/12/2018 6:35,2.560084263,1.75,0.46,8.566756806,51.36441774
10/12/2018 8:30,2.718191498,1.75,0.67,6.556282884,38.85707968
10/12/2018 10:35,2.489842494,1.92,1.06,4.336533032,25.01703112
10/12/2018 12:30,2.505289717,1.91,1.34,4.064271241,23.31597338
10/12/2018 14:50,2.464449386,1.88,1.15,4.381700886,25.29913808
10/12/2018 16:30,2.666239031,2.2,1.54,4.708778981,27.34123908
10/12/2018 18:30,2.702155864,2.1,1.22,5.187513159,30.32808391
10/12/2018 20:30,2.692567705,2.01,1.29,4.686364523,27.20133505
10/12/2018 22:30,2.638441698,2.35,1.33,4.567316921,26.45818133
10/13/2018 0:30,2.77961314,1.93,1.11,5.523746616,32.42455456
10/13/2018 2:30,2.645478324,2.04,0.66,7.366108509,43.89744553
10/13/2018 4:30,2.63887408,1.77,0.48,8.784861818,52.72020274
10/13/2018 6:30,2.724268919,1.86,0.55,8.294311255,49.67058447
10/13/2018 8:40,2.793877964,2,0.25,8.022283622,47.97904974
10/13/2018 10:30,2.675454082,2.1,0.74,6.170951283,36.45740634
10/13/2018 12:30,2.625559087,2.13,1.32,4.03761038,23.14934341
10/13/2018 14:30,2.737906032,2.13,1.44,3.531017296,19.98098048
10/13/2018 16:30,2.463414004,1.95,1.15,4.000242216,22.91577522
10/13/2018 18:28,2.603192262,2.26,1.3,4.257743021,24.52486503
10/13/2018 20:31,2.530937933,1.94,1.25,4.276186821,24.64008259
10/13/2018 22:30,2.385136207,2.08,1.2,4.34170617,25.04934256
10/14/2018 0:27,2.516539115,2.26,1.25,4.431590232,25.61070411
10/14/2018 2:32,2.45120319,2.06,1.16,4.872143988,28.36074604
10/14/2018 4:28,2.501239004,2.03,0.89,5.374688526,31.49527578
10/14/2018 6:30,2.462640731,1.74,0.61,8.71790787,52.30402228
10/14/2018 8:30,2.416754263,1.32,0.24,8.303051129,49.7249261
10/14/2018 10:30,2.468327926,1.84,0.17,8.788324228,52.74172436
10/14/2018 12:30,2.622409844,1.94,1.13,4.487277327,25.9584413
10/14/2018 14:28,2.436166829,1.89,1.31,3.754481697,21.37911685
10/14/2018 16:30,2.615715439,2.03,1.53,3.385504138,19.07005179
10/14/2018 18:33,2.295586927,1.75,1.22,3.791048364,21.607818
10/14/2018 20:36,2.302155184,1.87,1.25,3.823633449,21.81159811
10/14/2018 22:28,2.290496525,1.83,1.26,3.711932054,21.11296741
10/15/2018 0:29,2.260685527,1.85,1.25,4.282685114,24.68067605
10/15/2018 2:27,2.334017723,1.83,0.87,6.394532163,37.849885
10/15/2018 4:34,2.285680845,1.68,0.55,6.870558429,40.81356822
10/15/2018 6:30,2.399306514,1.5,0.52,8.808682335,52.86826523
10/15/2018 8:35,2.182033284,1.41,0.16,8.711645582,52.26509555
10/15/2018 10:31,2.203686078,1.67,0.69,6.058016353,35.75391053
10/15/2018 12:48,2.225363208,1.61,0.99,4.747597045,27.58351604
10/15/2018 14:35,2.282809998,1.56,0.97,4.247656791,24.46185489
10/15/2018 16:29,2.166175678,1.55,0.97,4.272594275,24.61764048
