"","master.timestamps","file.avg"
"1",1554756840,NA
"2",1554833700,2.4
"3",1554924600,NA
"4",1555016400,2.5
"5",1555078740,NA
"6",1555165620,2.7
"7",1555275840,NA
"8",1555350240,NA
"9",1555431000,2.2
"10",1555522020,NA
"11",1555591080,NA
"12",1555688220,NA
"13",1555783320,2.4
"14",1555855980,NA
"15",1555964100,NA
"16",1556032800,6.4
"17",1556147160,NA
"18",1556212080,3.8
"19",1556312280,NA
"20",1556384820,3.3
"21",1556476020,NA
"22",1556565120,NA
"23",1556643600,3.3
"24",1556730900,NA
"25",1556817540,2.8
"26",1556896140,NA
"27",1557003060,3.4
"28",1557079680,NA
"29",1557155400,NA
"30",1557259620,5.2
"31",1557334920,NA
"32",1557426660,4.9
"33",1557515700,NA
"34",1557584520,4
"35",1557688440,NA
"36",1557757440,NA
"37",1557861420,4.1
"38",1557954000,NA
"39",1558023360,4.2
"40",1558114020,NA
"41",1558189260,3.1
"42",1558288920,NA
"43",1558382880,NA
"44",1558454820,3.5
"45",1558552740,NA
"46",1558631400,4
"47",1558730220,NA
"48",1558814400,2.8
"49",1558893600,NA
"50",1558985400,NA
"51",1559066640,3.3
"52",1559138580,NA
"53",1559246400,3.3
"54",1559313000,NA
"55",1559417640,2.6
"56",1559499300,NA
"57",1559592660,NA
"58",1559664720,3.6
"59",1559741400,3.6
"60",1559826540,NA
"61",1559910300,3.4
"62",1560024480,3.6
"63",1560103800,NA
"64",1560182640,NA
"65",1560283920,3.5
"66",1560373200,NA
"67",1560434940,3.4
"68",1560535260,NA
"69",1560610680,2.9
"70",1560697980,NA
"71",1560787560,NA
"72",1560868380,3.1
"73",1560947400,3.1
"74",1561063380,3.5
"75",1561145520,NA
"76",1561226400,4
"77",1561293000,4
"78",1561400700,NA
"79",1561468020,NA
"80",1561554900,5.7
"81",1561651680,5
"82",1561734840,NA
"83",1561842060,4.8
"84",1561900680,4.8
"85",1561986600,NA
"86",1562080500,3.7
"87",1562170380,NA
"88",1562260620,4
"89",1562331720,4
"90",1562443260,3.8
"91",1562513520,NA
"92",1562591640,NA
"93",1562702400,3.4
"94",1562792400,NA
"95",1562878800,3.6
"96",1562961600,NA
"97",1563034500,3.6
"98",1563138000,NA
"99",1563202860,NA
"100",1563280740,NA
"101",1563368640,2.5
"102",1563454800,NA
"103",1563563340,NA
"104",1563632160,2
"105",1563712440,2
"106",1563829560,NA
"107",1563885480,NA
"108",1563984000,NA
"109",1564085100,1.8
"110",1564153920,NA
"111",1564254780,2
"112",1564317300,2
"113",1564405620,NA
"114",1564511280,2.2
"115",1564576680,2.2
"116",1564672260,2.7
"117",1564772580,NA
"118",1564858380,2.6
"119",1564949760,NA
