"","master.timestamps","file"
"1",1554754680,171
"2",1554834960,NA
"3",1554925860,214
"4",1555017240,200
"5",1555079580,208
"6",1555166400,188
"7",1555276740,188
"8",1555349700,177
"9",1555432500,174
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,219
"13",1555784280,192
"14",1555855800,183
"15",1555965120,169
"16",1556033700,NA
"17",1556148060,177
"18",1556213100,NA
"19",1556313240,308
"20",1556386020,204
"21",1556477340,NA
"22",1556566140,201
"23",1556644440,213
"24",1556732100,229
"25",1556818740,210
"26",1556897640,184
"27",1557004440,180
"28",1557080700,182
"29",1557156300,175
"30",1557260460,NA
"31",1557336120,184
"32",1557427860,213
"33",1557516780,201
"34",1557585480,222
"35",1557689640,232
"36",1557758520,223
"37",1557862800,191
"38",1557954840,215
"39",1558024800,190
"40",1558115340,176
"41",1558190460,172
"42",1558289880,206
"43",1558383960,NA
"44",1558456200,176
"45",1558553940,175
"46",1558632300,173
"47",1558730940,200
"48",1558815420,206
"49",1558894440,191
"50",1558986660,189
"51",1559067480,NA
"52",1559139720,204
"53",1559247360,198
"54",1559313420,196
"55",1559418540,174
"56",1559500320,195
"57",1559593680,189
"58",1559665320,NA
"59",1559742600,NA
"60",1559827620,166
"61",1560025920,175
"62",1560105000,165
"63",1560183600,212
"64",1560285360,185
"65",1560374400,197
"66",1560435900,179
"67",1560536160,203
"68",1560611460,187
"69",1560698820,NA
"70",1560788880,178
"71",1560869400,182
"72",1560948600,182
"73",1561064520,187
"74",1561146780,174
"75",1561227600,190
"76",1561293900,190
"77",1561401120,164
"78",1561468440,164
"79",1561555920,197
"80",1561651980,NA
"81",1561735380,163
"82",1561843080,161
"83",1561901640,161
"84",1561987380,NA
"85",1562081040,148
"86",1562171340,147
"87",1562262060,141
"88",1562332680,141
"89",1562444160,161
"90",1562512800,180
"91",1562592060,180
"92",1562703300,171
"93",1562792760,183
"94",1562879280,NA
"95",1562962080,167
"96",1563035580,138
"97",1563138240,156
"98",1563203520,151
"99",1563281640,151
"100",1563369660,153
"101",1563455160,158
"102",1563564360,163
"103",1563632580,143
"104",1563713760,143
"105",1563829980,163
"106",1563885840,163
"107",1563984480,176
"108",1564085460,169
"109",1564154880,173
"110",1564255980,165
"111",1564318560,165
"112",1564405860,154
"113",1564511640,182
"114",1564577040,182
"115",1564672740,156
"116",1564773720,153
"117",1564859580,155
"118",1564951200,136
"119",1565022720,157
"120",1565103240,149
"121",1565198460,152
"122",1565328120,126
"123",1565331720,126
"124",1565421360,NA
"125",1565545680,173
"126",1565638260,147
"127",1565706480,163
"128",1565794680,172
"129",1565875920,172
"130",1565967180,140
"131",1566076740,158
"132",1566145920,146
"133",1566231840,162
"134",1566315300,160
"135",1566408780,152
"136",1566506040,139
"137",1566568080,139
"138",1566660000,142
"139",1566736860,142
"140",1566852840,143
"141",1566912240,143
"142",1566998820,166
"143",1567096320,152
"144",1567169220,152
"145",1567255200,131
"146",1567354440,111
"147",1567453020,135
"148",1567520940,138
"149",1567625820,163
"150",1567709160,138
"151",1567781400,171
"152",1567873380,125
"153",1567953000,148
"154",1568039160,129
"155",1568122620,129
"156",1568261880,153
"157",1568316240,145
"158",1568363400,145
"159",1568491740,133
"160",1568564700,117
"161",1568640120,117
"162",1568730120,124
"163",1568817540,128
"164",1568896680,128
"165",1568991000,151
"166",1569100140,142
"167",1569169020,158
"168",1569249420,108
"169",1569330480,108
"170",1569422520,149
"171",1569515520,154
"172",1569616980,127
"173",1569697920,158
"174",1569791700,154
"175",1569871740,127
"176",1569938040,127
"177",1570040880,134
"178",1570110480,134
"179",1570205580,157
"180",1570292460,150
"181",1570396260,162
"182",1570479240,123
"183",1570539000,123
"184",1570637340,150
"185",1570734960,150
"186",1570825920,169
"187",1570886460,169
"188",1570998480,164
"189",1571057040,164
"190",1571160120,179
