"","master.timestamps","file"
"1",1554754680,NA
"2",1554834960,5.92
"3",1554925860,NA
"4",1555017240,6.17
"5",1555079580,NA
"6",1555166400,6.51
"7",1555276740,NA
"8",1555349700,NA
"9",1555432500,5.18
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,NA
"13",1555784280,9.14
"14",1555855800,NA
"15",1555965120,NA
"16",1556033700,8.13
"17",1556148060,NA
"18",1556213100,6.42
"19",1556313240,NA
"20",1556386020,4.99
"21",1556477340,NA
"22",1556566140,NA
"23",1556644440,4.44
"24",1556732100,NA
"25",1556818740,5.11
"26",1556897640,NA
"27",1557004440,7.74
"28",1557080700,NA
"29",1557156300,NA
"30",1557260460,8.85
"31",1557336120,NA
"32",1557427860,5.99
"33",1557516780,NA
"34",1557585480,5.17
"35",1557689640,NA
"36",1557758520,NA
"37",1557862800,5.45
"38",1557954840,NA
"39",1558024800,5.32
"40",1558115340,NA
"41",1558190460,6.6
"42",1558289880,NA
"43",1558383960,NA
"44",1558456200,6
"45",1558553940,NA
"46",1558632300,6.7
"47",1558730940,NA
"48",1558815420,5.48
"49",1558894440,NA
"50",1558986660,NA
"51",1559067480,5.52
"52",1559139720,NA
"53",1559247360,5.17
"54",1559313420,NA
"55",1559418540,5.36
"56",1559500320,NA
"57",1559593680,NA
"58",1559665320,5.95
"59",1559742600,5.95
"60",1559827620,NA
"61",1560025920,7.51
"62",1560105000,NA
"63",1560183600,NA
"64",1560285360,6.55
"65",1560374400,NA
"66",1560435900,6.9
"67",1560536160,NA
"68",1560611460,7.72
"69",1560698820,NA
"70",1560788880,NA
"71",1560869400,7.12
"72",1560948600,7.12
"73",1561064520,6.17
"74",1561146780,NA
"75",1561227600,7
"76",1561293900,7
"77",1561401120,NA
"78",1561468440,NA
"79",1561555920,8.62
"80",1561651980,7.7
"81",1561735380,NA
"82",1561843080,7.11
"83",1561901640,7.11
"84",1561987380,NA
"85",1562081040,7.35
"86",1562171340,NA
"87",1562262060,7.1
"88",1562332680,7.1
"89",1562444160,6.68
"90",1562512800,NA
"91",1562592060,NA
"92",1562703300,4.99
"93",1562792760,NA
"94",1562879280,7.27
"95",1562962080,NA
"96",1563035580,9.7
"97",1563138240,NA
"98",1563203520,NA
"99",1563281640,NA
"100",1563369660,7.48
"101",1563455160,NA
"102",1563564360,NA
