"","master.timestamps","file.avg.24"
"1",1561383720,NA
"2",1561383960,NA
"3",1561384140,NA
"4",1561384440,NA
"5",1561395420,NA
"6",1561395720,NA
"7",1561395960,NA
"8",1561396320,NA
"9",1561402920,163
"10",1561403100,163
"11",1561403400,163
"12",1561403700,163
"13",1561470960,163
"14",1561471440,163
"15",1561471800,163
"16",1561472280,163
"17",1561482240,163
"18",1561482600,163
"19",1561482960,163
"20",1561483380,NA
"21",1561489740,NA
"22",1561490340,NA
"23",1561490700,NA
"24",1561491180,NA
"25",1561643040,114
"26",1561643460,114
"27",1561643820,114
"28",1561644300,114
"29",1561655340,NA
"30",1561655640,NA
"31",1561656000,NA
"32",1561656360,NA
"33",1561663320,NA
"34",1561663680,NA
"35",1561663920,NA
"36",1561664280,NA
"37",1561728960,NA
"38",1561729620,NA
"39",1561730160,NA
"40",1561730700,NA
"41",1561742280,121
"42",1561743120,121
"43",1561743600,121
"44",1561744260,121
"45",1561749780,121
"46",1561750500,121
"47",1561750980,121
"48",1561751520,121
"49",1561988760,NA
"50",1561988940,NA
"51",1561989180,NA
"52",1561989420,NA
"53",1562001240,114
"54",1562001600,114
"55",1562001960,114
"56",1562002320,114
"57",1562008200,114
"58",1562008560,114
"59",1562008980,114
"60",1562009460,114
"61",1562074560,114
"62",1562075100,114
"63",1562075460,114
"64",1562075820,114
"65",1562087460,NA
"66",1562087940,NA
"67",1562088300,NA
"68",1562088720,NA
"69",1562094180,NA
"70",1562094600,NA
"71",1562094960,NA
"72",1562095320,NA
"73",1562593020,NA
"74",1562593440,NA
"75",1562593800,NA
"76",1562594160,NA
"77",1562605560,NA
"78",1562606040,NA
"79",1562606400,NA
"80",1562606820,NA
"81",1562613000,NA
"82",1562613480,NA
"83",1562613780,NA
"84",1562614200,NA
"85",1562765820,NA
"86",1562766120,NA
"87",1562766360,NA
"88",1562766660,NA
"89",1562778780,122
"90",1562779020,122
"91",1562779260,122
"92",1562779500,122
"93",1562785320,122
"94",1562785620,122
"95",1562785860,122
"96",1562786220,122
"97",1562852220,122
"98",1562852640,122
"99",1562852940,122
"100",1562853240,122
"101",1562864520,NA
"102",1562864940,NA
"103",1562865240,NA
"104",1562865540,NA
"105",1562871540,NA
"106",1562872080,NA
"107",1562872380,NA
"108",1562872740,NA
"109",1562938260,NA
"110",1562938620,NA
"111",1562938860,NA
"112",1562939160,NA
"113",1562950920,115
"114",1562951280,115
"115",1562951580,115
"116",1562951940,115
"117",1562958240,115
"118",1562958600,115
"119",1562958900,115
"120",1562959140,115
"121",1563111420,NA
"122",1563112200,NA
"123",1563112500,NA
"124",1563112800,NA
"125",1563123960,NA
"126",1563124380,NA
"127",1563124680,NA
"128",1563125040,NA
"129",1563131160,NA
"130",1563131580,NA
"131",1563131820,NA
"132",1563132240,NA
"133",1563198180,NA
"134",1563198600,NA
"135",1563198960,NA
"136",1563199200,NA
"137",1563210540,140
"138",1563210960,140
"139",1563211320,140
"140",1563211800,140
"141",1563217560,140
"142",1563217980,140
"143",1563218340,140
"144",1563219780,140
"145",1563456840,147
"146",1563457200,147
"147",1563457500,147
"148",1563457800,147
"149",1563469860,NA
"150",1563470160,NA
"151",1563470520,NA
"152",1563470880,NA
"153",1563476820,NA
"154",1563477120,NA
"155",1563477360,NA
"156",1563477720,NA
"157",1563629460,136
"158",1563630060,136
"159",1563630360,136
"160",1563630720,136
"161",1563642660,NA
"162",1563643080,NA
"163",1563643380,NA
"164",1563643740,NA
"165",1563649680,NA
"166",1563650520,NA
"167",1563650880,NA
"168",1563651240,NA
"169",1563802380,NA
"170",1563802800,NA
"171",1563803160,NA
"172",1563803640,NA
"173",1563814920,162
"174",1563815280,162
"175",1563815580,162
"176",1563816000,162
"177",1563822300,162
"178",1563822660,162
"179",1563822960,162
"180",1563823380,162
"181",1563888720,162
"182",1563889080,162
"183",1563889320,162
"184",1563889620,162
"185",1563901140,NA
"186",1563901440,NA
"187",1563901620,NA
"188",1563901920,NA
"189",1563908280,NA
"190",1563908640,NA
"191",1563908820,NA
"192",1563909120,NA
"193",1563977340,NA
"194",1563977820,NA
"195",1563978120,NA
"196",1563978600,NA
"197",1563987420,121
"198",1563987900,121
"199",1563988200,121
"200",1563988560,121
"201",1563994800,121
"202",1563995280,121
"203",1563995640,121
"204",1563996060,121
"205",1564062420,121
"206",1564062780,121
"207",1564063020,121
"208",1564063320,121
"209",1564073820,NA
"210",1564074240,NA
"211",1564074540,NA
"212",1564074840,NA
"213",1564081560,NA
"214",1564081980,NA
"215",1564082220,NA
"216",1564082520,NA
"217",1564407420,NA
"218",1564407900,NA
"219",1564408260,NA
"220",1564408620,NA
"221",1564419960,132
"222",1564420500,132
"223",1564420680,132
"224",1564421040,132
"225",1564426500,132
"226",1564426920,132
"227",1564427220,132
"228",1564427520,132
"229",1564493820,132
"230",1564494300,132
"231",1564494480,132
"232",1564494660,132
"233",1564505880,NA
"234",1564506300,NA
"235",1564506540,NA
"236",1564506900,NA
"237",1564513860,NA
"238",1564514280,NA
"239",1564514460,NA
"240",1564514820,NA
"241",1564580160,NA
"242",1564580640,NA
"243",1564581060,NA
"244",1564581360,NA
"245",1564592520,117
"246",1564592820,117
"247",1564593120,117
"248",1564593420,117
"249",1564599900,117
"250",1564600260,117
"251",1564600560,117
"252",1564600800,117
"253",1564666860,117
"254",1564667280,117
"255",1564667640,117
"256",1564668120,117
"257",1564678860,NA
"258",1564679280,NA
"259",1564679640,NA
"260",1564680000,NA
"261",1564686660,NA
"262",1564687080,NA
"263",1564687380,NA
"264",1564687740,NA
