"","master.timestamps","file"
"1",1561383720,0.1
"2",1561383960,0.1
"3",1561384140,0.1
"4",1561384440,0.1
"5",1561395420,0.34
"6",1561395720,0.34
"7",1561395960,0.26
"8",1561396320,0.26
"9",1561402920,0.1
"10",1561403100,0.1
"11",1561403400,0.1
"12",1561403700,0.1
"13",1561470960,0.1
"14",1561471440,0.1
"15",1561471800,0.1
"16",1561472280,0.1
"17",1561482240,0.17
"18",1561482600,0.17
"19",1561482960,0.17
"20",1561483380,0.13
"21",1561489740,0.19
"22",1561490340,0.19
"23",1561490700,0.19
"24",1561491180,0.31
"25",1561643040,0.1
"26",1561643460,0.1
"27",1561643820,0.1
"28",1561644300,0.1
"29",1561655340,0.1
"30",1561655640,0.4
"31",1561656000,0.4
"32",1561656360,0.4
"33",1561663320,1.36
"34",1561663680,1.69
"35",1561663920,1.69
"36",1561664280,1.69
"37",1561728960,0.1
"38",1561729620,0.1
"39",1561730160,0.1
"40",1561730700,0.1
"41",1561742280,1.36
"42",1561743120,1.19
"43",1561743600,1.19
"44",1561744260,0.98
"45",1561749780,1.07
"46",1561750500,1.27
"47",1561750980,1.27
"48",1561751520,1.74
"49",1561988760,0.1
"50",1561988940,0.1
"51",1561989180,0.1
"52",1561989420,0.1
"53",1562001240,0.31
"54",1562001600,0.17
"55",1562001960,0.17
"56",1562002320,0.17
"57",1562008200,1.09
"58",1562008560,1.09
"59",1562008980,1.09
"60",1562009460,1.12
"61",1562074560,0.1
"62",1562075100,0.1
"63",1562075460,0.1
"64",1562075820,0.1
"65",1562087460,1.52
"66",1562087940,1.75
"67",1562088300,1.75
"68",1562088720,1.75
"69",1562094180,2.23
"70",1562094600,1.97
"71",1562094960,1.97
"72",1562095320,1.97
"73",1562593020,0.1
"74",1562593440,0.1
"75",1562593800,0.1
"76",1562594160,0.1
"77",1562605560,0.88
"78",1562606040,0.88
"79",1562606400,0.95
"80",1562606820,0.95
"81",1562613000,1.67
"82",1562613480,1.67
"83",1562613780,1.67
"84",1562614200,1.95
"85",1562765820,0.1
"86",1562766120,0.1
"87",1562766360,0.1
"88",1562766660,0.1
"89",1562778780,0.13
"90",1562779020,0.1
"91",1562779260,0.1
"92",1562779500,0.1
"93",1562785320,1.74
"94",1562785620,1.74
"95",1562785860,1.74
"96",1562786220,1.74
"97",1562852220,0.1
"98",1562852640,0.1
"99",1562852940,0.1
"100",1562853240,0.1
"101",1562864520,2.32
"102",1562864940,2.32
"103",1562865240,2.32
"104",1562865540,1.6
"105",1562871540,2.44
"106",1562872080,2.44
"107",1562872380,2.69
"108",1562872740,2.69
"109",1562938260,0.1
"110",1562938620,0.1
"111",1562938860,0.1
"112",1562939160,0.1
"113",1562950920,0.1
"114",1562951280,0.1
"115",1562951580,0.1
"116",1562951940,0.1
"117",1562958240,1.53
"118",1562958600,1.53
"119",1562958900,1.53
"120",1562959140,1.64
"121",1563111420,0.1
"122",1563112200,0.1
"123",1563112500,0.1
"124",1563112800,0.1
"125",1563123960,0.1
"126",1563124380,0.1
"127",1563124680,0.1
"128",1563125040,0.1
"129",1563131160,0.1
"130",1563131580,0.1
"131",1563131820,0.1
"132",1563132240,0.1
"133",1563198180,0.1
"134",1563198600,0.1
"135",1563198960,0.1
"136",1563199200,0.1
"137",1563210540,0.38
"138",1563210960,0.38
"139",1563211320,0.38
"140",1563211800,0.1
"141",1563217560,0.29
"142",1563217980,0.57
"143",1563218340,0.57
"144",1563219780,0.69
"145",1563456840,3.89
"146",1563457200,3.89
"147",1563457500,3.89
"148",1563457800,4.09
"149",1563469860,1.08
"150",1563470160,1.51
"151",1563470520,1.51
"152",1563470880,1.51
"153",1563476820,2.24
"154",1563477120,2.24
"155",1563477360,2.24
"156",1563477720,2.92
"157",1563629460,0.1
"158",1563630060,0.1
"159",1563630360,0.1
"160",1563630720,0.1
"161",1563642660,0.1
"162",1563643080,0.1
"163",1563643380,0.1
"164",1563643740,0.1
"165",1563649680,0.21
"166",1563650520,0.1
"167",1563650880,0.1
"168",1563651240,0.1
"169",1563802380,0.1
"170",1563802800,0.1
"171",1563803160,0.1
"172",1563803640,0.1
"173",1563814920,0.1
"174",1563815280,0.1
"175",1563815580,0.1
"176",1563816000,0.1
"177",1563822300,1.11
"178",1563822660,1.11
"179",1563822960,1.11
"180",1563823380,0.94
"181",1563888720,0.1
"182",1563889080,0.1
"183",1563889320,0.1
"184",1563889620,0.1
"185",1563901140,0.1
"186",1563901440,0.13
"187",1563901620,0.13
"188",1563901920,0.13
"189",1563908280,0.14
"190",1563908640,0.1
"191",1563908820,0.1
"192",1563909120,0.1
"193",1563977340,0.1
"194",1563977820,0.1
"195",1563978120,0.1
"196",1563978600,0.1
"197",1563987420,0.1
"198",1563987900,0.1
"199",1563988200,0.1
"200",1563988560,0.1
"201",1563994800,0.14
"202",1563995280,0.14
"203",1563995640,0.14
"204",1563996060,0.1
"205",1564062420,0.1
"206",1564062780,0.1
"207",1564063020,0.1
"208",1564063320,0.1
"209",1564073820,0.1
"210",1564074240,0.1
"211",1564074540,0.1
"212",1564074840,0.1
"213",1564081560,0.1
"214",1564081980,0.1
"215",1564082220,0.1
"216",1564082520,0.1
"217",1564407420,0.1
"218",1564407900,0.1
"219",1564408260,0.1
"220",1564408620,0.1
"221",1564419960,0.1
"222",1564420500,0.1
"223",1564420680,0.1
"224",1564421040,0.1
"225",1564426500,0.1
"226",1564426920,0.1
"227",1564427220,0.1
"228",1564427520,0.1
"229",1564493820,0.1
"230",1564494300,0.1
"231",1564494480,0.1
"232",1564494660,0.1
"233",1564505880,0.1
"234",1564506300,0.1
"235",1564506540,0.1
"236",1564506900,0.1
"237",1564513860,0.1
"238",1564514280,0.1
"239",1564514460,0.1
"240",1564514820,0.1
"241",1564580160,0.1
"242",1564580640,0.1
"243",1564581060,0.1
"244",1564581360,0.1
"245",1564592520,0.1
"246",1564592820,0.1
"247",1564593120,0.1
"248",1564593420,0.1
"249",1564599900,0.1
"250",1564600260,0.1
"251",1564600560,0.1
"252",1564600800,0.1
"253",1564666860,0.1
"254",1564667280,0.1
"255",1564667640,0.1
"256",1564668120,0.1
"257",1564678860,0.1
"258",1564679280,0.1
"259",1564679640,0.1
"260",1564680000,0.1
"261",1564686660,0.1
"262",1564687080,0.1
"263",1564687380,0.1
"264",1564687740,0.1
