"","master.timestamps","file"
"1",1561383720,NA
"2",1561383960,NA
"3",1561384140,NA
"4",1561384440,NA
"5",1561395420,126
"6",1561395720,126
"7",1561395960,126
"8",1561396320,126
"9",1561402920,126
"10",1561403100,126
"11",1561403400,126
"12",1561403700,126
"13",1561470960,126
"14",1561471440,NA
"15",1561471800,NA
"16",1561472280,NA
"17",1561482240,NA
"18",1561482600,NA
"19",1561482960,NA
"20",1561483380,NA
"21",1561489740,NA
"22",1561490340,NA
"23",1561490700,NA
"24",1561491180,NA
"25",1561643040,NA
"26",1561643460,NA
"27",1561643820,NA
"28",1561644300,NA
"29",1561655340,NA
"30",1561655640,NA
"31",1561656000,NA
"32",1561656360,NA
"33",1561663320,NA
"34",1561663680,NA
"35",1561663920,NA
"36",1561664280,NA
"37",1561728960,NA
"38",1561729620,NA
"39",1561730160,NA
"40",1561730700,132
"41",1561742280,132
"42",1561743120,132
"43",1561743600,132
"44",1561744260,132
"45",1561749780,132
"46",1561750500,132
"47",1561750980,132
"48",1561751520,132
"49",1561988760,NA
"50",1561988940,NA
"51",1561989180,NA
"52",1561989420,NA
"53",1562001240,124
"54",1562001600,124
"55",1562001960,124
"56",1562002320,124
"57",1562008200,124
"58",1562008560,124
"59",1562008980,124
"60",1562009460,124
"61",1562074560,124
"62",1562075100,124
"63",1562075460,124
"64",1562075820,124
"65",1562087460,NA
"66",1562087940,NA
"67",1562088300,NA
"68",1562088720,NA
"69",1562094180,NA
"70",1562094600,NA
"71",1562094960,NA
"72",1562095320,NA
"73",1562593020,NA
"74",1562593440,NA
"75",1562593800,NA
"76",1562594160,NA
"77",1562605560,130
"78",1562606040,130
"79",1562606400,130
"80",1562606820,130
"81",1562613000,130
"82",1562613480,130
"83",1562613780,130
"84",1562614200,130
"85",1562765820,NA
"86",1562766120,NA
"87",1562766360,NA
"88",1562766660,NA
"89",1562778780,NA
"90",1562779020,NA
"91",1562779260,NA
"92",1562779500,NA
"93",1562785320,NA
"94",1562785620,NA
"95",1562785860,NA
"96",1562786220,NA
"97",1562852220,NA
"98",1562852640,NA
"99",1562852940,NA
"100",1562853240,NA
"101",1562864520,NA
"102",1562864940,NA
"103",1562865240,NA
"104",1562865540,NA
"105",1562871540,NA
"106",1562872080,NA
"107",1562872380,NA
"108",1562872740,NA
"109",1562938260,NA
"110",1562938620,NA
"111",1562938860,NA
"112",1562939160,NA
"113",1562950920,NA
"114",1562951280,NA
"115",1562951580,NA
"116",1562951940,NA
"117",1562958240,NA
"118",1562958600,NA
"119",1562958900,NA
"120",1562959140,NA
"121",1563111420,NA
"122",1563112200,NA
"123",1563112500,NA
"124",1563112800,NA
"125",1563123960,NA
"126",1563124380,NA
"127",1563124680,NA
"128",1563125040,NA
"129",1563131160,NA
"130",1563131580,NA
"131",1563131820,NA
"132",1563132240,NA
"133",1563198180,NA
"134",1563198600,NA
"135",1563198960,NA
"136",1563199200,NA
"137",1563210540,NA
"138",1563210960,NA
"139",1563211320,NA
"140",1563211800,NA
"141",1563217560,NA
"142",1563217980,NA
"143",1563218340,NA
"144",1563219780,NA
"145",1563456840,NA
"146",1563457200,NA
"147",1563457500,NA
"148",1563457800,NA
"149",1563469860,NA
"150",1563470160,NA
"151",1563470520,NA
"152",1563470880,NA
"153",1563476820,NA
"154",1563477120,NA
"155",1563477360,NA
"156",1563477720,NA
"157",1563629460,144
"158",1563630060,144
"159",1563630360,144
"160",1563630720,144
"161",1563642660,NA
"162",1563643080,NA
"163",1563643380,NA
"164",1563643740,NA
"165",1563649680,NA
"166",1563650520,NA
"167",1563650880,NA
"168",1563651240,NA
"169",1563802380,NA
"170",1563802800,NA
"171",1563803160,NA
"172",1563803640,NA
"173",1563814920,134
"174",1563815280,134
"175",1563815580,134
"176",1563816000,134
"177",1563822300,134
"178",1563822660,134
"179",1563822960,134
"180",1563823380,134
"181",1563888720,134
"182",1563889080,134
"183",1563889320,134
"184",1563889620,134
"185",1563901140,NA
"186",1563901440,NA
"187",1563901620,NA
"188",1563901920,NA
"189",1563908280,NA
"190",1563908640,NA
"191",1563908820,NA
"192",1563909120,NA
"193",1563977340,NA
"194",1563977820,NA
"195",1563978120,NA
"196",1563978600,NA
"197",1563987420,NA
"198",1563987900,NA
"199",1563988200,NA
"200",1563988560,NA
"201",1563994800,NA
"202",1563995280,NA
"203",1563995640,NA
"204",1563996060,NA
"205",1564062420,NA
"206",1564062780,NA
"207",1564063020,NA
"208",1564063320,NA
"209",1564073820,NA
"210",1564074240,NA
"211",1564074540,NA
"212",1564074840,NA
"213",1564081560,NA
"214",1564081980,NA
"215",1564082220,NA
"216",1564082520,NA
"217",1564407420,NA
"218",1564407900,NA
"219",1564408260,NA
"220",1564408620,NA
"221",1564419960,124
"222",1564420500,124
"223",1564420680,124
"224",1564421040,124
"225",1564426500,124
"226",1564426920,124
"227",1564427220,124
"228",1564427520,124
"229",1564493820,124
"230",1564494300,124
"231",1564494480,124
"232",1564494660,124
"233",1564505880,NA
"234",1564506300,NA
"235",1564506540,NA
"236",1564506900,NA
"237",1564513860,NA
"238",1564514280,NA
"239",1564514460,NA
"240",1564514820,NA
"241",1564580160,NA
"242",1564580640,NA
"243",1564581060,NA
"244",1564581360,NA
"245",1564592520,NA
"246",1564592820,NA
"247",1564593120,NA
"248",1564593420,NA
"249",1564599900,NA
"250",1564600260,NA
"251",1564600560,NA
"252",1564600800,NA
"253",1564666860,NA
"254",1564667280,NA
"255",1564667640,NA
"256",1564668120,NA
"257",1564678860,NA
"258",1564679280,NA
"259",1564679640,NA
"260",1564680000,NA
"261",1564686660,NA
"262",1564687080,NA
"263",1564687380,NA
"264",1564687740,NA
