"","master.timestamps","file.avg.24"
"1",1554754680,99
"2",1554834960,NA
"3",1554925860,110
"4",1555017240,100
"5",1555079580,98
"6",1555166400,94
"7",1555276740,94
"8",1555349700,106
"9",1555432500,102
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,88
"13",1555784280,94
"14",1555855800,103
"15",1555965120,97
"16",1556033700,NA
"17",1556148060,92
"18",1556213100,548
"19",1556313240,145
"20",1556386020,98
"21",1556477340,NA
"22",1556566140,86
"23",1556644440,103
"24",1556732100,94
"25",1556818740,100
"26",1556897640,94
"27",1557004440,101
"28",1557080700,95
"29",1557156300,113
"30",1557260460,NA
"31",1557336120,101.5
"32",1557427860,98
"33",1557516780,113.790923824959
"34",1557585480,113.189015691869
"35",1557689640,101
"36",1557758520,102
"37",1557862800,104
"38",1557954840,110
"39",1558024800,90
"40",1558115340,95.0445912469034
"41",1558190460,98
"42",1558289880,111
"43",1558383960,NA
"44",1558456200,90
"45",1558553940,95
"46",1558632300,94
"47",1558730940,87.1133768352366
"48",1558815420,102
"49",1558894440,99
"50",1558986660,108
"51",1559067480,NA
"52",1559139720,95
"53",1559247360,76
"54",1559313420,76
"55",1559418540,96
"56",1559500320,95
"57",1559593680,81
"58",1559665320,NA
"59",1559742600,NA
"60",1559827620,86
"61",1560025920,91
"62",1560105000,86
"63",1560183600,88
"64",1560285360,85
"65",1560374400,100
"66",1560435900,85
"67",1560536160,99.8689138576779
"68",1560611460,86.2921840759679
"69",1560698820,NA
"70",1560788880,85
"71",1560869400,91
"72",1560948600,91
"73",1561064520,92
"74",1561146780,86
"75",1561227600,87
"76",1561293900,87
"77",1561401120,84
"78",1561468440,84
"79",1561555920,92
"80",1561651980,NA
"81",1561735380,83
"82",1561843080,81
"83",1561901640,81
"84",1561987380,NA
"85",1562081040,91
"86",1562171340,83
"87",1562262060,83
"88",1562332680,83
"89",1562444160,70
"90",1562512800,64
"91",1562592060,64
"92",1562703300,77
"93",1562792760,92
"94",1562879280,NA
"95",1562962080,85.4722222222222
"96",1563035580,70
"97",1563138240,74
"98",1563203520,69
"99",1563281640,69
"100",1563369660,78
"101",1563455160,71
"102",1563564360,80
"103",1563632580,62
"104",1563713760,62
"105",1563829980,92
"106",1563885840,92
"107",1563984480,80
"108",1564085460,78
"109",1564154880,80
"110",1564255980,63
"111",1564318560,63
"112",1564405860,70
"113",1564511640,87
"114",1564577040,87
"115",1564672740,78
"116",1564773720,67.2173524150268
"117",1564859580,68
"118",1564951200,75
"119",1565022720,79
"120",1565103240,80.1991341991342
"121",1565198460,73
"122",1565328120,77
"123",1565331720,77
"124",1565421360,77
"125",1565545680,79
"126",1565638260,77
"127",1565706480,82.0453257790368
"128",1565794680,77
"129",1565875920,77
"130",1565967180,78
"131",1566076740,69
"132",1566145920,80
"133",1566231840,78
"134",1566315300,77.9710037174721
"135",1566408780,64
"136",1566506040,58
"137",1566568080,58
"138",1566660000,72
"139",1566736860,72
"140",1566852840,76
"141",1566912240,76
"142",1566998820,76
"143",1567096320,72
"144",1567169220,72
"145",1567255200,72
"146",1567354440,80
"147",1567453020,75
"148",1567520940,76
"149",1567625820,76
"150",1567709160,91
"151",1567781400,84
"152",1567873380,75
"153",1567953000,76
"154",1568039160,94
"155",1568122620,79.9530386740332
"156",1568261880,78
"157",1568316240,66
"158",1568363400,66
"159",1568491740,70
"160",1568564700,80
"161",1568640120,80
"162",1568730120,73.7813822284908
"163",1568817540,76
"164",1568896680,76
"165",1568991000,77
"166",1569100140,80
"167",1569169020,85
"168",1569249420,92
"169",1569330480,92
"170",1569422520,87
"171",1569515520,79
"172",1569616980,84
"173",1569697920,73
"174",1569791700,84
"175",1569871740,84
"176",1569938040,84.9836065573771
"177",1570040880,27
"178",1570110480,27
"179",1570205580,79
"180",1570292460,84
"181",1570396260,90
"182",1570479240,73.6005788712012
"183",1570539000,77.7305699481865
"184",1570637340,72
"185",1570734960,86
"186",1570825920,270
"187",1570886460,270
"188",1570998480,80
"189",1571057040,80
"190",1571160120,91.2075928917609
"191",1571246580,81
"192",1571340480,95
"193",1571425980,93
"194",1571509920,90
"195",1571587380,88
"196",1571703060,77
"197",1571748180,77
"198",1571856300,84.1037955073586
"199",1571947920,88
"200",1572023820,88
"201",1572121020,88
"202",1572194040,164
"203",1572295620,94
"204",1572354000,94
"205",1572444720,142
"206",1572529680,142
"207",1572628380,90
"208",1572712080,80
"209",1572798660,96
"210",1572892440,80
"211",1572981960,85
"212",1573066320,98
"213",1573151400,87
"214",1573228800,92
"215",1573324080,80
"216",1573423860,71
"217",1573503480,88
"218",1573589580,98
"219",1573661820,84
"220",1573756020,82
"221",1573835340,85
"222",1573915860,85
"223",1574025360,90
"224",1574102460,83
"225",1574174640,83
"226",1574257800,93
"227",1574347560,84
"228",1574442900,81
"229",1574543760,88
"230",1574628360,86
"231",1574699460,69
"232",1574806560,89
"233",1574879820,111
"234",1574968200,90
"235",1575034800,90
"236",1575152220,85
"237",1575228660,85
"238",1575321120,86
"239",1575380760,86
"240",1575470760,97
"241",1575560340,84
"242",1575667740,69
"243",1575746160,84
"244",1575821400,92
"245",1575922860,93
"246",1575985260,93
"247",1576075860,79
"248",1576185420,87
"249",1576254420,73
"250",1576355100,92
"251",1576444320,109
"252",1576505880,109
"253",1576615260,148
"254",1576697940,98
"255",1576773000,124
"256",1576863000,91
"257",1576953060,91
"258",1577031780,84
"259",1577131860,85
"260",1577194200,85
"261",1577305260,92
"262",1577391480,97
"263",1577463780,85
"264",1577541360,85
"265",1577638740,90
"266",1577719680,92
"267",1577812740,116
"268",1577887800,116
"269",1577992320,90
"270",1578082560,89
"271",1578169320,92
"272",1578255780,82
"273",1578347880,92
"274",1578408480,92
"275",1578507240,65
"276",1578590160,79
"277",1578683580,89
"278",1578768120,110
"279",1578852540,95
"280",1578946140,89
"281",1579037040,91
"282",1579105200,94
"283",1579184820,94
"284",1579271160,83
"285",1579353840,93
"286",1579466580,91
"287",1579531860,91
"288",1579635780,79
"289",1579727640,92
"290",1579815420,88
"291",1579873320,88
"292",1579969680,91
"293",1580060580,93
"294",1580142600,83
"295",1580239140,96
"296",1580330280,90
"297",1580421960,93
"298",1580484480,92
"299",1580577960,87
"300",1580667960,93
"301",1580754360,94
"302",1580854440,98
"303",1580934720,116
"304",1581016380,96
"305",1581088260,88
"306",1581186060,82
"307",1581266880,93
"308",1581368460,94
"309",1581458880,122
"310",1581532620,86
"311",1581628260,89
"312",1581712560,90
"313",1581782940,77
"314",1581861000,77
"315",1582033500,97
"316",1582150020,88
"317",1582234080,NA
"318",1582292280,NA
"319",1582406100,81
"320",1582479240,84
"321",1582579860,91
"322",1582658160,90
"323",1582740600,94
"324",1582813260,89.5051813471503
"325",1582927680,83
"326",1582989780,92
"327",1583070180,92
"328",1583163360,88
"329",1583268000,93
"330",1583345880,95
"331",1583446260,87.4344703770197
"332",1583515380,101
"333",1583605620,86
"334",1583697180,95
"335",1583758080,95
"336",1583849820,94
"337",1583959860,96.0862068965517
"338",1584027120,92.4124629080119
"339",1584130380,100
"340",1584211140,94
"341",1584302220,90
"342",1584368580,87
"343",1584459180,NA
"344",1584552600,NA
"345",1584622080,95
"346",1584726360,NA
"347",1584811320,NA
"348",1584886980,NA
"349",1584983040,NA
"350",1585067400,NA
"351",1585153740,NA
"352",1585241820,75
"353",1585326420,NA
"354",1585418520,NA
"355",1585501560,NA
"356",1585586400,NA
"357",1585673040,NA
"358",1585752660,NA
"359",1585832400,68
"360",1585923000,NA
"361",1586017920,NA
"362",1586101140,NA
"363",1586187000,NA
"364",1586273220,NA
"365",1586357160,NA
"366",1586455020,62
"367",1586527260,62
