"","master.timestamps","file.avg.24"
"1",1554754680,NA
"2",1554834960,8
"3",1554925860,NA
"4",1555017240,10
"5",1555079580,NA
"6",1555166400,15
"7",1555276740,13
"8",1555349700,NA
"9",1555432500,6
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,NA
"13",1555784280,10
"14",1555855800,11
"15",1555965120,NA
"16",1556033700,8
"17",1556148060,NA
"18",1556213100,10
"19",1556313240,NA
"20",1556386020,9
"21",1556477340,8
"22",1556566140,NA
"23",1556644440,11
"24",1556732100,NA
"25",1556818740,7
"26",1556897640,NA
"27",1557004440,8
"28",1557080700,8
"29",1557156300,NA
"30",1557260460,11
"31",1557336120,NA
"32",1557427860,10
"33",1557516780,NA
"34",1557585480,10
"35",1557689640,9
"36",1557758520,NA
"37",1557862800,9
"38",1557954840,NA
"39",1558024800,8
"40",1558115340,NA
"41",1558190460,8
"42",1558289880,9
"43",1558383960,NA
"44",1558456200,9
"45",1558553940,NA
"46",1558632300,8
"47",1558730940,NA
"48",1558815420,9
"49",1558894440,8
"50",1558986660,NA
"51",1559067480,7
"52",1559139720,NA
"53",1559247360,7
"54",1559313420,NA
"55",1559418540,7
"56",1559500320,6
"57",1559593680,NA
"58",1559665320,6
"59",1559742600,6
"60",1559827620,NA
"61",1560025920,7
"62",1560105000,7
"63",1560183600,NA
"64",1560285360,6
"65",1560374400,NA
"66",1560435900,5
"67",1560536160,NA
"68",1560611460,6
"69",1560698820,7
"70",1560788880,NA
"71",1560869400,6
"72",1560948600,6
"73",1561064520,8
"74",1561146780,NA
"75",1561227600,8
"76",1561293900,8
"77",1561401120,NA
"78",1561468440,NA
"79",1561555920,7
"80",1561651980,6
"81",1561735380,NA
"82",1561843080,7
"83",1561901640,7
"84",1561987380,NA
"85",1562081040,7
"86",1562171340,NA
"87",1562262060,9
"88",1562332680,9
"89",1562444160,6
"90",1562512800,8
"91",1562592060,8
"92",1562703300,8
"93",1562792760,NA
"94",1562879280,6
"95",1562962080,NA
"96",1563035580,5
"97",1563138240,5
"98",1563203520,NA
"99",1563281640,NA
"100",1563369660,6
"101",1563455160,NA
"102",1563564360,NA
"103",1563632580,6
"104",1563713760,6
"105",1563829980,NA
"106",1563885840,NA
"107",1563984480,NA
"108",1564085460,7
"109",1564154880,NA
"110",1564255980,6
"111",1564318560,6
"112",1564405860,8
"113",1564511640,7
"114",1564577040,7
"115",1564672740,7
"116",1564773720,NA
"117",1564859580,8
"118",1564951200,6
"119",1565022720,NA
"120",1565103240,6
"121",1565198460,NA
"122",1565328120,7
"123",1565331720,7
"124",1565421360,NA
"125",1565545680,10
"126",1565638260,NA
"127",1565706480,8
"128",1565794680,NA
"129",1565875920,NA
"130",1565967180,NA
"131",1566076740,9
"132",1566145920,11
"133",1566231840,NA
"134",1566315300,13
"135",1566408780,NA
"136",1566506040,9
"137",1566568080,9
"138",1566660000,10
"139",1566736860,10
"140",1566852840,NA
"141",1566912240,NA
"142",1566998820,9
"143",1567096320,9
"144",1567169220,9
"145",1567255200,NA
"146",1567354440,7
"147",1567453020,NA
"148",1567520940,8
"149",1567625820,NA
"150",1567709160,9
"151",1567781400,NA
"152",1567873380,8
"153",1567953000,9
"154",1568039160,NA
"155",1568122620,NA
"156",1568261880,NA
"157",1568316240,8
"158",1568363400,8
"159",1568491740,8
"160",1568564700,9
"161",1568640120,9
"162",1568730120,7
"163",1568817540,NA
"164",1568896680,NA
"165",1568991000,NA
"166",1569100140,9
"167",1569169020,8
"168",1569249420,NA
"169",1569330480,NA
"170",1569422520,NA
"171",1569515520,7
"172",1569616980,NA
"173",1569697920,11
"174",1569791700,14
"175",1569871740,NA
"176",1569938040,NA
"177",1570040880,NA
"178",1570110480,NA
"179",1570205580,NA
"180",1570292460,7
"181",1570396260,14
"182",1570479240,NA
"183",1570539000,NA
"184",1570637340,NA
"185",1570734960,12
"186",1570825920,NA
"187",1570886460,NA
"188",1570998480,10
"189",1571057040,10
"190",1571160120,8
"191",1571246580,NA
"192",1571340480,8
"193",1571425980,NA
"194",1571509920,10
"195",1571587380,12
"196",1571703060,NA
"197",1571748180,NA
"198",1571856300,NA
"199",1571947920,14
"200",1572023820,NA
"201",1572121020,13
"202",1572194040,19
"203",1572295620,NA
"204",1572354000,NA
"205",1572444720,NA
"206",1572529680,NA
"207",1572628380,NA
"208",1572712080,12
"209",1572798660,13
"210",1572892440,NA
"211",1572981960,10
"212",1573066320,NA
"213",1573151400,11
"214",1573228800,NA
"215",1573324080,11
"216",1573423860,12
"217",1573503480,NA
"218",1573589580,13
"219",1573661820,NA
"220",1573756020,11
"221",1573835340,NA
"222",1573915860,NA
"223",1574025360,12
"224",1574102460,NA
"225",1574174640,NA
"226",1574257800,9
"227",1574347560,NA
"228",1574442900,NA
"229",1574543760,13
"230",1574628360,7
"231",1574699460,NA
"232",1574806560,14
"233",1574879820,NA
"234",1574968200,15
"235",1575034800,15
"236",1575152220,11
"237",1575228660,11
"238",1575321120,NA
"239",1575380760,NA
"240",1575470760,10
"241",1575560340,10
"242",1575667740,NA
"243",1575746160,10
"244",1575821400,9
"245",1575922860,NA
"246",1575985260,NA
"247",1576075860,12
"248",1576185420,10
"249",1576254420,NA
"250",1576355100,12
"251",1576444320,10
"252",1576505880,10
"253",1576615260,11
"254",1576697940,NA
"255",1576773000,11
"256",1576863000,NA
"257",1576953060,13
"258",1577031780,11
"259",1577131860,NA
"260",1577194200,NA
"261",1577305260,NA
"262",1577391480,11
"263",1577463780,NA
"264",1577541360,NA
"265",1577638740,11
"266",1577719680,NA
"267",1577812740,NA
"268",1577887800,NA
"269",1577992320,12
"270",1578082560,NA
"271",1578169320,12
"272",1578255780,14
"273",1578347880,NA
"274",1578408480,NA
"275",1578507240,NA
"276",1578590160,11
"277",1578683580,NA
"278",1578768120,14
"279",1578852540,13
"280",1578946140,NA
"281",1579037040,13
"282",1579105200,NA
"283",1579184820,NA
"284",1579271160,12
"285",1579353840,NA
"286",1579466580,12
"287",1579531860,12
"288",1579635780,12
"289",1579727640,NA
"290",1579815420,27
"291",1579873320,27
"292",1579969680,11
"293",1580060580,16
"294",1580142600,NA
"295",1580239140,8
"296",1580330280,NA
"297",1580421960,8
"298",1580484480,NA
"299",1580577960,11
"300",1580667960,10
"301",1580754360,NA
"302",1580854440,13
"303",1580934720,NA
"304",1581016380,11
"305",1581088260,NA
"306",1581186060,11
"307",1581266880,14
"308",1581368460,NA
"309",1581458880,10
"310",1581532620,NA
"311",1581628260,10
"312",1581712560,NA
"313",1581782940,12
"314",1581861000,12
"315",1582033500,NA
"316",1582150020,NA
"317",1582234080,12
"318",1582292280,12
"319",1582406100,13
"320",1582479240,12
"321",1582579860,NA
"322",1582658160,12
"323",1582740600,NA
"324",1582813260,NA
"325",1582927680,NA
"326",1582989780,12
"327",1583070180,12
"328",1583163360,NA
"329",1583268000,10
"330",1583345880,NA
"331",1583446260,8
"332",1583515380,NA
"333",1583605620,12
"334",1583697180,18
"335",1583758080,18
"336",1583849820,13
"337",1583959860,NA
"338",1584027120,13
"339",1584130380,NA
"340",1584211140,8
"341",1584302220,8
"342",1584368580,NA
"343",1584459180,10
"344",1584552600,NA
"345",1584622080,NA
"346",1584726360,NA
"347",1584811320,7
"348",1584886980,6
"349",1584983040,NA
"350",1585067400,6
"351",1585153740,NA
"352",1585241820,7
"353",1585326420,NA
"354",1585418520,5
"355",1585501560,8
"356",1585586400,NA
"357",1585673040,12
"358",1585752660,NA
"359",1585832400,NA
"360",1585923000,NA
"361",1586017920,11
"362",1586101140,7
"363",1586187000,NA
"364",1586273220,7
"365",1586357160,NA
"366",1586455020,7
"367",1586527260,NA
