"","master.timestamps","file"
"1",1554754680,2.74870467
"2",1554834960,2.63832641
"3",1554925860,2.12223983
"4",1555017240,2.40727878
"5",1555079580,1.38031161
"6",1555166400,1.60217464
"7",1555276740,4.873824
"8",1555349700,2.332165
"9",1555432500,2.50409746
"10",1555523460,2.719629
"11",1555592100,1.68355381
"12",1555689540,2.05405569
"13",1555784280,2.19566655
"14",1555855800,1.27859068
"15",1555965120,2.07078815
"16",1556033700,2.25436115
"17",1556148060,1.14020014
"18",1556213100,3.22733784
"19",1556313240,3.60948682
"20",1556386020,2.434039
"21",1556477340,3.90299535
"22",1556566140,3.50021768
"23",1556644440,3.412029
"24",1556732100,3.29766846
"25",1556818740,3.66513443
"26",1556897640,2.699622
"27",1557004440,5.51256
"28",1557080700,3.12935185
"29",1557156300,3.04052925
"30",1557260460,3.059611
"31",1557336120,3.06710076
"32",1557427860,1.98597562
"33",1557516780,3.30640912
"34",1557585480,2.18419766
"35",1557689640,3.51655841
"36",1557758520,2.16748548
"37",1557862800,2.768158
"38",1557954840,2.72113776
"39",1558024800,2.15714622
"40",1558115340,4.31645775
"41",1558190460,1.95937955
"42",1558289880,3.17924881
"43",1558383960,3.402893
"44",1558456200,2.921975
"45",1558553940,2.93186378
"46",1558632300,3.11391163
"47",1558730940,4.428862
"48",1558815420,3.842016
"49",1558894440,3.80942059
"50",1558986660,4.50737762
"51",1559067480,2.82900023
"52",1559139720,2.33140373
"53",1559247360,2.45198417
"54",1559313420,1.66128016
"55",1559418540,3.54641223
"56",1559500320,2.87183666
"57",1559593680,2.59259248
"58",1559665320,2.92605662
"59",1559742600,2.54578662
"60",1559827620,3.271435
"61",1560025920,5.31913042
"62",1560105000,3.26227736
"63",1560183600,3.09419155
"64",1560285360,3.08605766
"65",1560374400,3.39167023
"66",1560435900,1.84767091
"67",1560536160,3.50363755
"68",1560611460,2.36607957
"69",1560698820,2.3101995
"70",1560788880,2.80985236
"71",1560869400,1.94525051
"72",1560948600,2.083901
"73",1561064520,2.91544414
"74",1561146780,3.61511946
"75",1561227600,2.47984719
"76",1561293900,1.81203687
"77",1561401120,2.33479786
"78",1561468440,2.199602
"79",1561555920,2.788411
"80",1561651980,2.98761725
"81",1561735380,2.63555169
"82",1561843080,3.142125
"83",1561901640,1.99421751
"84",1561987380,0.3944919
"85",1562081040,0.8469817
"86",1562171340,0.360521436
"87",1562262060,2.29019427
"88",1562332680,0.223409757
"89",1562444160,1.68980074
"90",1562512800,0.808772
"91",1562592060,1.14064181
"92",1562703300,1.26227617
"93",1562792760,1.4881562
"94",1562879280,2.45845866
"95",1562962080,1.1414566
"96",1563035580,1.73456287
"97",1563138240,2.99585152
"98",1563203520,1.400672
"99",1563281640,1.0624795
"100",1563369660,1.16890275
"101",1563455160,0.8282748
"102",1563564360,1.57441592
"103",1563632580,1.13395262
"104",1563713760,0.9312248
"105",1563829980,1.95130634
"106",1563885840,1.81851244
"107",1563984480,1.21207178
"108",1564085460,1.64454019
"109",1564154880,1.2963866
"110",1564255980,3.57440853
"111",1564318560,1.49121988
"112",1564405860,1.24900985
"113",1564511640,4.41435957
"114",1564577040,1.74752855
"115",1564672740,2.49341369
"116",1564773720,3.359334
"117",1564859580,4.60051
"118",1564951200,2.506395
"119",1565022720,1.94140327
"120",1565103240,1.95418537
"121",1565198460,2.71364737
"122",1565328120,3.25974536
"123",1565331720,2.735387
"124",1565421360,2.806924
"125",1565545680,3.24630547
"126",1565638260,2.74405837
"127",1565706480,2.81925559
"128",1565794680,2.15308428
"129",1565875920,2.4656713
"130",1565967180,2.65116739
"131",1566076740,4.466335
"132",1566145920,2.7302444
"133",1566231840,4.116345
"134",1566315300,2.179465
"135",1566408780,4.95297527
"136",1566506040,3.609319
"137",1566568080,2.09546471
"138",1566660000,2.589647
"139",1566736860,2.57473874
"140",1566852840,4.48490953
"141",1566912240,2.00524735
"142",1566998820,1.51846921
"143",1567096320,3.70721555
"144",1567169220,2.27843547
"145",1567255200,1.63207114
"146",1567354440,2.334828
"147",1567453020,5.07945061
"148",1567520940,2.15236735
"149",1567625820,2.65171337
"150",1567709160,2.70629144
"151",1567781400,2.62101531
"152",1567873380,2.7859633
"153",1567953000,1.79409564
"154",1568039160,1.90450418
"155",1568122620,1.5967356
"156",1568261880,2.84543419
"157",1568316240,2.7297802
"158",1568363400,1.947024
"159",1568491740,4.39549971
"160",1568564700,1.64129007
"161",1568640120,2.26745582
"162",1568730120,1.43206549
"163",1568817540,2.18042731
"164",1568896680,1.30806267
"165",1568991000,2.57066965
"166",1569100140,3.64685845
"167",1569169020,4.677485
"168",1569249420,2.85413837
"169",1569330480,2.5767498
"170",1569422520,2.320187
"171",1569515520,2.85044575
"172",1569616980,2.401715
"173",1569697920,4.440651
"174",1569791700,4.23481035
"175",1569871740,3.49866939
"176",1569938040,1.58755767
"177",1570040880,3.96593213
"178",1570110480,1.40988576
"179",1570205580,2.36632013
"180",1570292460,3.37782979
"181",1570396260,3.685942
"182",1570479240,4.22341776
"183",1570539000,2.52668357
"184",1570637340,4.189703
"185",1570734960,3.339936
"186",1570825920,2.55852485
"187",1570886460,1.74133265
"188",1570998480,6.6552453
"189",1571057040,2.199852
"190",1571160120,2.18130159
"191",1571246580,2.51608872
"192",1571340480,3.26000285
"193",1571425980,3.64985919
"194",1571509920,2.62525368
"195",1571587380,1.94311988
"196",1571703060,2.89157844
"197",1571748180,1.79148185
"198",1571856300,3.85292053
"199",1571947920,2.8223896
"200",1572023820,3.04602814
"201",1572121020,5.656199
"202",1572194040,2.27999139
"203",1572295620,3.466862
"204",1572354000,1.454671
"205",1572444720,1.80320549
"206",1572529680,1.862331
"207",1572628380,2.75419283
"208",1572712080,2.01495028
"209",1572798660,1.94204247
"210",1572892440,5.5346427
"211",1572981960,5.134688
"212",1573066320,3.80999374
"213",1573151400,3.43093038
"214",1573228800,2.30516219
"215",1573324080,2.47745132
"216",1573423860,5.968483
"217",1573503480,3.46462321
"218",1573589580,3.344249
"219",1573661820,2.13644123
"220",1573756020,4.187448
"221",1573835340,2.56868529
"222",1573915860,2.3215313
"223",1574025360,4.56079674
"224",1574102460,3.191787
"225",1574174640,2.14664865
"226",1574257800,2.11731458
"227",1574347560,3.934699
"228",1574442900,2.43428922
"229",1574543760,4.62325144
"230",1574628360,3.76142836
"231",1574699460,1.84805024
"232",1574806560,3.72043157
"233",1574879820,3.153061
"234",1574968200,2.71252
"235",1575034800,2.73699665
"236",1575152220,4.170878
"237",1575228660,2.84378362
"238",1575321120,2.61146951
"239",1575380760,2.64128327
"240",1575470760,2.508638
"241",1575560340,1.81961524
"242",1575667740,2.74194837
"243",1575746160,2.60377049
"244",1575821400,2.07755542
"245",1575922860,3.98098016
"246",1575985260,2.82381344
"247",1576075860,2.03638577
"248",1576185420,2.50751662
"249",1576254420,2.1672008
"250",1576355100,4.660068
"251",1576444320,4.64014
"252",1576505880,1.93896723
"253",1576615260,3.669357
"254",1576697940,3.59773183
"255",1576773000,2.339195
"256",1576863000,2.165044
"257",1576953060,2.60538054
"258",1577031780,1.83632374
"259",1577131860,2.6650908
"260",1577194200,3.00775
"261",1577305260,3.082675
"262",1577391480,3.35471368
"263",1577463780,2.27834868
"264",1577541360,2.83832431
"265",1577638740,1.8616724
"266",1577719680,2.038503
"267",1577812740,1.93265092
"268",1577887800,2.940145
"269",1577992320,3.10774732
"270",1578082560,3.72783017
"271",1578169320,3.37437248
"272",1578255780,3.177262
"273",1578347880,2.41143346
"274",1578408480,2.24968338
"275",1578507240,2.475402
"276",1578590160,2.863182
"277",1578683580,3.00752139
"278",1578768120,1.14336145
"279",1578852540,2.66672325
"280",1578946140,1.84289682
"281",1579037040,3.100331
"282",1579105200,2.75532532
"283",1579184820,1.99302638
"284",1579271160,2.38645673
"285",1579353840,3.00873947
"286",1579466580,2.43356419
"287",1579531860,2.967268
"288",1579635780,3.39665866
"289",1579727640,2.88607669
"290",1579815420,3.24308586
"291",1579873320,2.18255544
"292",1579969680,2.748506
"293",1580060580,2.53177667
"294",1580142600,3.0801208
"295",1580239140,2.312404
"296",1580330280,2.80474067
"297",1580421960,3.44598317
"298",1580484480,2.993559
"299",1580577960,2.769015
"300",1580667960,1.76081765
"301",1580754360,4.2808423
"302",1580854440,4.05254126
"303",1580934720,3.31947637
"304",1581016380,3.35158467
"305",1581088260,2.64705586
"306",1581186060,3.25646663
"307",1581266880,2.736681
"308",1581368460,4.47702551
"309",1581458880,5.59162855
"310",1581532620,3.65369868
"311",1581628260,3.708264
"312",1581712560,4.09573555
"313",1581782940,3.01297879
"314",1581861000,2.61922884
"315",1582033500,2.031329
"316",1582150020,3.72517943
"317",1582234080,3.689458
"318",1582292280,2.33655453
"319",1582406100,4.8292923
"320",1582479240,2.57957864
"321",1582579860,3.491202
"322",1582658160,4.07005835
"323",1582740600,3.07296753
"324",1582813260,1.92376518
"325",1582927680,3.70484638
"326",1582989780,2.34279513
"327",1583070180,1.7362324
"328",1583163360,1.942522
"329",1583268000,3.81626153
"330",1583345880,3.43984032
"331",1583446260,3.49674726
"332",1583515380,3.373347
"333",1583605620,4.0754447
"334",1583697180,2.99416041
"335",1583758080,1.34779644
"336",1583849820,2.69096255
"337",1583959860,3.68149543
"338",1584027120,2.92515826
"339",1584130380,4.31807375
"340",1584211140,5
"341",1584302220,4.005251
"342",1584368580,2.49399233
"343",1584459180,2.86794472
"344",1584552600,2.24455237
"345",1584622080,1.73894823
"346",1584726360,2.96329284
"347",1584811320,2.840368
"348",1584886980,2.73601842
"349",1584983040,2.91819978
"350",1585067400,2.681226
"351",1585153740,2.33333325
"352",1585241820,2.46684313
"353",1585326420,1.71703827
"354",1585418520,1.80575955
"355",1585501560,1.954053
"356",1585586400,2.5657413
"357",1585673040,2.280181
"358",1585752660,1.67831481
"359",1585832400,2.146734
"360",1585923000,2.400499
"361",1586017920,1.62989485
"362",1586101140,1.80580628
"363",1586187000,1.13974082
"364",1586273220,1.70930755
"365",1586357160,1.72786057
"366",1586455020,1.66558313
"367",1586527260,1.68041134
