"","master.timestamps","file.avg"
"1",1554756840,7980
"2",1554833700,3389.75
"3",1554924600,6090
"4",1555016400,7230
"5",1555078740,5541.625
"6",1555165620,3050
"7",1555275840,9870
"8",1555350240,6261.94444444445
"9",1555431000,4857.44444444445
"10",1555522020,6370
"11",1555591080,4651.49305555556
"12",1555688220,4650
"13",1555783320,4410
"14",1555855980,5007.09027777778
"15",1555964100,9080
"16",1556032800,9732.01388888889
"17",1556147160,6970
"18",1556212080,5452.19444444444
"19",1556312280,7330
"20",1556384820,6230.14583333333
"21",1556476020,6170
"22",1556565120,8880
"23",1556643600,8407.66666666667
"24",1556730900,7940
"25",1556817540,7120
"26",1556896140,6674.23611111111
"27",1557003060,6050
"28",1557079680,3832.98611111111
"29",1557155400,4365.04166666667
"30",1557259620,9330
"31",1557334920,5887.46527777778
"32",1557426660,8160
"33",1557515700,8130
"34",1557584520,6138.68055555556
"35",1557688440,4480
"36",1557757440,7243.19444444445
"37",1557861420,8160
"38",1557954000,7540
"39",1558023360,9916.22222222222
"40",1558114020,10760
"41",1558189260,14887.75
"42",1558288920,7330
"43",1558382880,17900
"44",1558454820,11655.2083333333
"45",1558552740,2700
"46",1558631400,23912.7083333333
"47",1558730220,27600
"48",1558814400,14349.4444444444
"49",1558893600,5209.16666666667
"50",1558985400,3990
"51",1559066640,6133.83333333333
"52",1559138580,12789.5625
"53",1559246400,17900
"54",1559313000,14893.75
"55",1559417640,8230
"56",1559499300,4165.90277777778
"57",1559592660,5730
"58",1559664720,9191.21527777778
"59",1559741400,10341.5
"60",1559826540,7167.83333333333
"61",1559910300,10008.9444444444
"62",1560024480,10700
"63",1560103800,6403.5
"64",1560182640,7261
"65",1560283920,12000
"66",1560373200,14000
"67",1560434940,26005
"68",1560535260,9060
"69",1560610680,18347.8333333333
"70",1560697980,12800
"71",1560787560,12700
"72",1560868380,37020.8333333333
"73",1560947400,59369.5833333333
"74",1561063380,27600
"75",1561145520,74564.3055555555
"76",1561226400,33751.6666666667
"77",1561293000,66412.5
"78",1561400700,46100
"79",1561468020,91992.9166666667
"80",1561554900,26100
"81",1561651680,32600
"82",1561734840,53967.5
"83",1561842060,48800
"84",1561900680,37808.75
"85",1561986600,46025
"86",1562080500,21400
"87",1562170380,27600
"88",1562260620,14000
"89",1562331720,17785.4166666667
"90",1562443260,11800
"91",1562513520,15052.7777777778
"92",1562591640,32707.9166666667
"93",1562702400,18500
"94",1562792400,30800
"95",1562878800,22800
"96",1562961600,15516.6666666667
"97",1563034500,16381.25
"98",1563138000,13000
"99",1563202860,25086.1805555556
"100",1563280740,44423.6111111111
"101",1563368640,15500
"102",1563454800,14004.1666666667
"103",1563563340,5460
"104",1563632160,10191.375
"105",1563712440,13537.0833333333
"106",1563829560,17800
"107",1563885480,34433.6111111111
"108",1563984000,24900
"109",1564085100,23800
"110",1564153920,25552.3611111111
"111",1564254780,27600
"112",1564317300,29915.5555555556
"113",1564405620,26100
"114",1564511280,22500
"115",1564576680,46949.3055555556
