"","master.timestamps","file.avg"
"1",1554756840,99
"2",1554833700,NA
"3",1554924600,110
"4",1555016400,100
"5",1555078740,98
"6",1555165620,94
"7",1555275840,94
"8",1555350240,106
"9",1555431000,102
"10",1555522020,NA
"11",1555591080,NA
"12",1555688220,88
"13",1555783320,94
"14",1555855980,103
"15",1555964100,97
"16",1556032800,NA
"17",1556147160,92
"18",1556212080,548
"19",1556312280,145
"20",1556384820,98
"21",1556476020,NA
"22",1556565120,86
"23",1556643600,103
"24",1556730900,94
"25",1556817540,100
"26",1556896140,94
"27",1557003060,101
"28",1557079680,95
"29",1557155400,113
"30",1557259620,NA
"31",1557334920,101.5
"32",1557426660,98
"33",1557515700,113.592651757188
"34",1557584520,114.552186177715
"35",1557688440,101
"36",1557757440,102
"37",1557861420,104
"38",1557954000,110
"39",1558023360,90
"40",1558114020,95.0437956204379
"41",1558189260,98
"42",1558288920,111
"43",1558382880,NA
"44",1558454820,90
"45",1558552740,95
"46",1558631400,94
"47",1558730220,87.1025848142165
"48",1558814400,102
"49",1558893600,99
"50",1558985400,108
"51",1559066640,NA
"52",1559138580,95
"53",1559246400,76
"54",1559313000,76
"55",1559417640,96
"56",1559499300,95
"57",1559592660,81
"58",1559664720,NA
"59",1559741400,NA
"60",1559826540,86
"61",1559910300,85
"62",1560024480,91
"63",1560103800,86
"64",1560182640,88
"65",1560283920,85
"66",1560373200,100
"67",1560434940,85
"68",1560535260,99.8814814814815
"69",1560610680,86.3364688856729
"70",1560697980,NA
"71",1560787560,85
"72",1560868380,91
"73",1560947400,91
"74",1561063380,92
"75",1561145520,86
"76",1561226400,87
"77",1561293000,87
"78",1561400700,84
"79",1561468020,84
"80",1561554900,92
"81",1561651680,NA
"82",1561734840,83
"83",1561842060,81
"84",1561900680,81
"85",1561986600,NA
"86",1562080500,91
"87",1562170380,83
"88",1562260620,83
"89",1562331720,83
"90",1562443260,70
"91",1562513520,64
"92",1562591640,64
"93",1562702400,77
