"","master.timestamps","file"
"1",1554756840,28
"2",1554833700,NA
"3",1554924600,28.1
"4",1555016400,26
"5",1555078740,26.2
"6",1555165620,27.2
"7",1555275840,26.2
"8",1555350240,28.4
"9",1555431000,28.4
"10",1555522020,NA
"11",1555591080,NA
"12",1555688220,27.4
"13",1555783320,28.6
"14",1555855980,27.7
"15",1555964100,28.4
"16",1556032800,NA
"17",1556147160,28.6
"18",1556212080,29.5
"19",1556312280,28.3
"20",1556384820,28.7
"21",1556476020,29.9
"22",1556565120,28.3
"23",1556643600,29.9
"24",1556730900,31
"25",1556817540,29.5
"26",1556896140,29
"27",1557003060,28.1
"28",1557079680,28.4
"29",1557155400,28.5
"30",1557259620,NA
"31",1557334920,27.9
"32",1557426660,27.6
"33",1557515700,27.9
"34",1557584520,26.8
"35",1557688440,27.3
"36",1557757440,26.7
"37",1557861420,29.2
"38",1557954000,27.5
"39",1558023360,27.6
"40",1558114020,28.7
"41",1558189260,29.3
"42",1558288920,29.5
"43",1558382880,NA
"44",1558454820,25
"45",1558552740,25.8
"46",1558631400,25.2
"47",1558730220,25.6
"48",1558814400,25.5
"49",1558893600,25.2
"50",1558985400,27.4
"51",1559066640,NA
"52",1559138580,25.3
"53",1559246400,25.2
"54",1559313000,25.5
"55",1559417640,25.4
"56",1559499300,24.7
"57",1559592660,25.8
"58",1559664720,NA
"59",1559741400,NA
"60",1559826540,26.6
"61",1559910300,27.8
"62",1560024480,26.5
"63",1560103800,26.2
"64",1560182640,26.4
"65",1560283920,26.2
"66",1560373200,26.8
"67",1560434940,26.4
"68",1560535260,26.7
"69",1560610680,27.8
"70",1560697980,NA
"71",1560787560,29.1
"72",1560868380,28.3
"73",1560947400,28.3
"74",1561063380,25.7
"75",1561145520,27
"76",1561226400,26.9
"77",1561293000,26.9
"78",1561400700,25.6
"79",1561468020,25.6
"80",1561554900,26.2
"81",1561651680,NA
"82",1561734840,25.1
"83",1561842060,25.7
"84",1561900680,25.7
"85",1561986600,NA
"86",1562080500,25.1
"87",1562170380,26.2
"88",1562260620,25.1
"89",1562331720,25.1
"90",1562443260,25.1
"91",1562513520,25.1
"92",1562591640,25.1
"93",1562702400,27.9
