"","master.timestamps","file"
"1",1554756840,NA
"2",1554833700,8
"3",1554924600,NA
"4",1555016400,9
"5",1555078740,NA
"6",1555165620,12
"7",1555275840,14
"8",1555350240,NA
"9",1555431000,7
"10",1555522020,NA
"11",1555591080,NA
"12",1555688220,NA
"13",1555783320,9
"14",1555855980,11
"15",1555964100,NA
"16",1556032800,19
"17",1556147160,NA
"18",1556212080,15
"19",1556312280,NA
"20",1556384820,12
"21",1556476020,11
"22",1556565120,NA
"23",1556643600,14
"24",1556730900,NA
"25",1556817540,10
"26",1556896140,NA
"27",1557003060,12
"28",1557079680,12
"29",1557155400,NA
"30",1557259620,14
"31",1557334920,NA
"32",1557426660,17
"33",1557515700,NA
"34",1557584520,15
"35",1557688440,16
"36",1557757440,NA
"37",1557861420,15
"38",1557954000,NA
"39",1558023360,14
"40",1558114020,NA
"41",1558189260,13
"42",1558288920,13
"43",1558382880,NA
"44",1558454820,13
"45",1558552740,NA
"46",1558631400,15
"47",1558730220,NA
"48",1558814400,13
"49",1558893600,9
"50",1558985400,NA
"51",1559066640,12
"52",1559138580,NA
"53",1559246400,14
"54",1559313000,NA
"55",1559417640,9
"56",1559499300,7
"57",1559592660,NA
"58",1559664720,11
"59",1559741400,11
"60",1559826540,NA
"61",1559910300,12
"62",1560024480,13
"63",1560103800,10
"64",1560182640,NA
"65",1560283920,12
"66",1560373200,NA
"67",1560434940,12
"68",1560535260,NA
"69",1560610680,10
"70",1560697980,13
"71",1560787560,NA
"72",1560868380,12
"73",1560947400,12
"74",1561063380,12
"75",1561145520,NA
"76",1561226400,15
"77",1561293000,15
"78",1561400700,NA
"79",1561468020,NA
"80",1561554900,17
"81",1561651680,14
"82",1561734840,NA
"83",1561842060,16
"84",1561900680,16
"85",1561986600,16
"86",1562080500,13
"87",1562170380,NA
"88",1562260620,15
"89",1562331720,15
"90",1562443260,14
"91",1562513520,15
"92",1562591640,15
"93",1562702400,14
"94",1562792400,NA
"95",1562878800,13
"96",1562961600,NA
"97",1563034500,11
"98",1563138000,12
"99",1563202860,NA
"100",1563280740,NA
"101",1563368640,10
"102",1563454800,NA
"103",1563563340,NA
"104",1563632160,10
"105",1563712440,10
"106",1563829560,NA
"107",1563885480,NA
"108",1563984000,NA
"109",1564085100,7
"110",1564153920,NA
"111",1564254780,8
"112",1564317300,8
"113",1564405620,9
"114",1564511280,13
"115",1564576680,13
"116",1564672260,12
"117",1564772580,NA
"118",1564858380,11
"119",1564949760,9
"120",1565021820,NA
"121",1565101980,8
"122",1565197380,NA
"123",1565327160,10
"124",1565331000,10
"125",1565420520,NA
"126",1565544540,16
"127",1565636880,NA
"128",1565704860,13
"129",1565792820,NA
"130",1565874900,NA
"131",1565965860,NA
"132",1566075720,10
"133",1566144840,21
"134",1566230880,NA
"135",1566313920,14
"136",1566407280,NA
"137",1566504780,10
"138",1566566640,10
"139",1566659160,17
"140",1566735840,17
"141",1566851160,NA
"142",1566911280,NA
"143",1566997740,12
"144",1567094520,14
"145",1567168260,14
"146",1567254360,NA
"147",1567353840,10
"148",1567452240,NA
"149",1567520040,10
"150",1567625100,NA
"151",1567708560,12
"152",1567780800,NA
"153",1567872780,9
"154",1567952340,12
"155",1568038260,NA
"156",1568122020,NA
"157",1568261520,NA
"158",1568315580,12
"159",1568362740,12
"160",1568491020,7
"161",1568563800,10
"162",1568639220,10
"163",1568729460,6
"164",1568816340,NA
"165",1568895900,NA
"166",1568990040,NA
"167",1569099480,10
"168",1569168300,6
"169",1569248820,NA
"170",1569329400,NA
"171",1569421680,NA
"172",1569514740,5
"173",1569616200,NA
"174",1569697440,12
"175",1569791100,14
"176",1569870720,NA
"177",1569937320,NA
"178",1570040220,NA
"179",1570109820,NA
"180",1570204920,NA
"181",1570291560,8
"182",1570395660,8
"183",1570478460,NA
"184",1570538040,NA
"185",1570636860,NA
"186",1570734060,12
"187",1570825140,NA
"188",1570885800,NA
"189",1570997520,10
"190",1571056260,10
"191",1571159580,11
"192",1571245740,NA
"193",1571339820,10
"194",1571425320,NA
"195",1571509260,12
"196",1571586540,10
"197",1571702400,NA
"198",1571747580,NA
"199",1571855160,NA
"200",1571947320,NA
"201",1572023280,NA
"202",1572120300,15
"203",1572193380,14
"204",1572295020,NA
"205",1572353040,NA
"206",1572444120,NA
"207",1572529140,NA
"208",1572627600,NA
"209",1572711300,15
"210",1572798000,18
"211",1572891780,NA
"212",1572980640,8
"213",1573065720,NA
"214",1573150800,12
"215",1573228080,NA
"216",1573323420,15
"217",1573423320,13
"218",1573502700,NA
"219",1573588800,15
"220",1573661220,NA
"221",1573755300,15
"222",1573834620,NA
"223",1573915320,NA
"224",1574024820,12
"225",1574101920,NA
"226",1574174040,NA
"227",1574257200,12
"228",1574347080,NA
"229",1574442300,NA
"230",1574543220,15
"231",1574627580,9
"232",1574698920,NA
"233",1574805840,12
"234",1574879100,NA
"235",1574967540,17
"236",1575034080,17
"237",1575144480,12
"238",1575227940,18
"239",1575320400,NA
"240",1575470100,10
"241",1575559740,11
"242",1575667080,NA
"243",1575742260,13
"244",1575820860,12
"245",1575922380,NA
"246",1575984600,NA
"247",1576075020,10
"248",1576184880,11
"249",1576253700,NA
"250",1576354380,18
"251",1576443720,16
"252",1576505400,16
"253",1576614540,15
"254",1576697340,NA
"255",1576772460,18
"256",1576862340,NA
"257",1576952220,16
