"","master.timestamps","file.avg"
"1",1554754680,28
"2",1554834960,NA
"3",1554925860,28.1
"4",1555017240,26
"5",1555079580,26.2
"6",1555166400,27.2
"7",1555276740,26.2
"8",1555349700,28.4
"9",1555432500,28.4
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,27.4
"13",1555784280,28.6
"14",1555855800,27.7
"15",1555965120,28.4
"16",1556033700,NA
"17",1556148060,28.6
"18",1556213100,29.5
"19",1556313240,28.3
"20",1556386020,28.7
"21",1556477340,29.9
"22",1556566140,28.3
"23",1556644440,29.9
"24",1556732100,31
"25",1556818740,29.5
"26",1556897640,29
"27",1557004440,28.1
"28",1557080700,28.4
"29",1557156300,28.5
"30",1557260460,NA
"31",1557336120,27.9
"32",1557427860,27.6
"33",1557516780,27.9
"34",1557585480,26.8
"35",1557689640,27.3
"36",1557758520,26.7
"37",1557862800,29.2
"38",1557954840,27.5
"39",1558024800,27.6
"40",1558115340,28.7
"41",1558190460,29.3
"42",1558289880,29.5
"43",1558383960,NA
"44",1558456200,25
"45",1558553940,25.8
"46",1558632300,25.2
"47",1558730940,25.6
"48",1558815420,25.5
"49",1558894440,25.2
"50",1558986660,27.4
"51",1559067480,NA
"52",1559139720,25.3
"53",1559247360,25.2
"54",1559313420,25.5
"55",1559418540,25.4
"56",1559500320,24.7
"57",1559593680,25.8
"58",1559665320,NA
"59",1559742600,NA
"60",1559827620,26.6
"61",1560025920,26.5
"62",1560105000,26.2
"63",1560183600,26.4
"64",1560285360,26.2
"65",1560374400,26.8
"66",1560435900,26.4
"67",1560536160,26.7
"68",1560611460,27.8
"69",1560698820,NA
"70",1560788880,29.1
"71",1560869400,28.3
"72",1560948600,28.3
"73",1561064520,25.7
"74",1561146780,27
"75",1561227600,26.9
"76",1561293900,26.9
"77",1561401120,25.6
"78",1561468440,25.6
"79",1561555920,26.2
"80",1561651980,NA
"81",1561735380,25.1
"82",1561843080,25.7
"83",1561901640,25.7
"84",1561987380,NA
"85",1562081040,25.1
"86",1562171340,26.2
"87",1562262060,25.1
"88",1562332680,25.1
"89",1562444160,25.1
"90",1562512800,25.1
"91",1562592060,25.1
"92",1562703300,27.9
"93",1562792760,28
"94",1562879280,NA
"95",1562962080,30.2
"96",1563035580,27.9
"97",1563138240,26.6
"98",1563203520,27.8
"99",1563281640,27.8
"100",1563369660,27.7
"101",1563455160,27.8
"102",1563564360,26.9
"103",1563632580,27
"104",1563713760,27
"105",1563829980,26.9
"106",1563885840,26.9
"107",1563984480,26.8
"108",1564085460,26.4
