"","master.timestamps","file"
"1",1554754680,393
"2",1554834960,NA
"3",1554925860,NA
"4",1555017240,NA
"5",1555079580,NA
"6",1555166400,NA
"7",1555276740,NA
"8",1555349700,426
"9",1555432500,NA
"10",1555523460,NA
"11",1555592100,NA
"12",1555689540,NA
"13",1555784280,NA
"14",1555855800,NA
"15",1555965120,415
"16",1556033700,NA
"17",1556148060,NA
"18",1556213100,NA
"19",1556313240,NA
"20",1556386020,NA
"21",1556477340,NA
"22",1556566140,410
"23",1556644440,NA
"24",1556732100,NA
"25",1556818740,NA
"26",1556897640,NA
"27",1557004440,NA
"28",1557080700,NA
"29",1557156300,399
"30",1557260460,NA
"31",1557336120,NA
"32",1557427860,NA
"33",1557516780,NA
"34",1557585480,NA
"35",1557689640,NA
"36",1557758520,434
"37",1557862800,NA
"38",1557954840,NA
"39",1558024800,NA
"40",1558115340,NA
"41",1558190460,NA
"42",1558289880,NA
"43",1558383960,NA
"44",1558456200,NA
"45",1558553940,NA
"46",1558632300,NA
"47",1558730940,NA
"48",1558815420,NA
"49",1558894440,NA
"50",1558986660,412
"51",1559067480,NA
"52",1559139720,NA
"53",1559247360,NA
"54",1559313420,NA
"55",1559418540,NA
"56",1559500320,NA
"57",1559593680,379
"58",1559665320,NA
"59",1559742600,NA
"60",1559827620,NA
"61",1560025920,NA
"62",1560105000,NA
"63",1560183600,436
"64",1560285360,NA
"65",1560374400,NA
"66",1560435900,NA
"67",1560536160,NA
"68",1560611460,NA
"69",1560698820,NA
"70",1560788880,307
"71",1560869400,NA
"72",1560948600,NA
"73",1561064520,NA
"74",1561146780,NA
"75",1561227600,NA
"76",1561293900,NA
"77",1561401120,374
"78",1561468440,374
"79",1561555920,NA
"80",1561651980,NA
"81",1561735380,NA
"82",1561843080,NA
"83",1561901640,NA
"84",1561987380,NA
"85",1562081040,NA
"86",1562171340,NA
"87",1562262060,NA
"88",1562332680,NA
"89",1562444160,NA
"90",1562512800,NA
"91",1562592060,NA
"92",1562703300,NA
"93",1562792760,NA
"94",1562879280,NA
"95",1562962080,NA
"96",1563035580,NA
"97",1563138240,NA
"98",1563203520,347
"99",1563281640,347
"100",1563369660,NA
"101",1563455160,NA
"102",1563564360,NA
"103",1563632580,NA
"104",1563713760,NA
"105",1563829980,355
"106",1563885840,355
"107",1563984480,NA
"108",1564085460,NA
"109",1564154880,NA
"110",1564255980,NA
"111",1564318560,NA
"112",1564405860,NA
"113",1564511640,NA
"114",1564577040,NA
"115",1564672740,NA
"116",1564773720,NA
"117",1564859580,NA
"118",1564951200,NA
"119",1565022720,434
"120",1565103240,NA
"121",1565198460,NA
"122",1565328120,NA
"123",1565331720,NA
"124",1565421360,NA
"125",1565545680,NA
"126",1565638260,371
"127",1565706480,NA
"128",1565794680,NA
"129",1565875920,NA
"130",1565967180,NA
"131",1566076740,NA
"132",1566145920,NA
"133",1566231840,377
"134",1566315300,NA
"135",1566408780,NA
"136",1566506040,NA
"137",1566568080,NA
"138",1566660000,NA
"139",1566736860,NA
"140",1566852840,324
"141",1566912240,324
"142",1566998820,NA
"143",1567096320,NA
"144",1567169220,NA
"145",1567255200,NA
"146",1567354440,NA
"147",1567453020,326
"148",1567520940,NA
"149",1567625820,NA
"150",1567709160,NA
"151",1567781400,NA
"152",1567873380,NA
"153",1567953000,NA
"154",1568039160,327
"155",1568122620,327
"156",1568261880,NA
"157",1568316240,NA
"158",1568363400,NA
"159",1568491740,NA
"160",1568564700,NA
"161",1568640120,NA
"162",1568730120,NA
"163",1568817540,NA
"164",1568896680,NA
"165",1568991000,NA
"166",1569100140,NA
"167",1569169020,NA
"168",1569249420,400
"169",1569330480,400
"170",1569422520,NA
"171",1569515520,NA
"172",1569616980,NA
"173",1569697920,NA
"174",1569791700,NA
"175",1569871740,375
"176",1569938040,375
"177",1570040880,NA
"178",1570110480,NA
"179",1570205580,NA
"180",1570292460,NA
"181",1570396260,NA
"182",1570479240,345
"183",1570539000,345
"184",1570637340,NA
"185",1570734960,NA
"186",1570825920,NA
"187",1570886460,NA
"188",1570998480,369
"189",1571057040,369
"190",1571160120,460
"191",1571246580,329
"192",1571340480,424
"193",1571425980,374
"194",1571509920,276
"195",1571587380,NA
"196",1571703060,396
"197",1571748180,396
"198",1571856300,NA
"199",1571947920,NA
"200",1572023820,NA
"201",1572121020,NA
"202",1572194040,NA
"203",1572295620,401
"204",1572354000,401
"205",1572444720,NA
"206",1572529680,NA
"207",1572628380,NA
"208",1572712080,NA
"209",1572798660,NA
"210",1572892440,368
"211",1572981960,NA
"212",1573066320,NA
"213",1573151400,NA
"214",1573228800,NA
"215",1573324080,NA
"216",1573423860,NA
"217",1573503480,406
"218",1573589580,NA
"219",1573661820,NA
"220",1573756020,NA
"221",1573835340,NA
"222",1573915860,NA
"223",1574025360,NA
"224",1574102460,508
"225",1574174640,508
"226",1574257800,NA
"227",1574347560,NA
"228",1574442900,NA
"229",1574543760,NA
"230",1574628360,NA
"231",1574699460,304
"232",1574806560,NA
"233",1574879820,NA
"234",1574968200,NA
"235",1575034800,NA
"236",1575152220,NA
"237",1575228660,NA
"238",1575321120,395
"239",1575380760,395
"240",1575470760,NA
"241",1575560340,NA
"242",1575667740,NA
"243",1575746160,NA
"244",1575821400,NA
"245",1575922860,413
"246",1575985260,413
"247",1576075860,NA
"248",1576185420,NA
"249",1576254420,NA
"250",1576355100,NA
"251",1576444320,NA
"252",1576505880,NA
"253",1576615260,NA
"254",1576697940,NA
"255",1576773000,NA
"256",1576863000,NA
"257",1576953060,NA
"258",1577031780,NA
"259",1577131860,340
"260",1577194200,340
"261",1577305260,NA
"262",1577391480,NA
"263",1577463780,NA
