"","master.timestamps","file"
"1",1554756840,0.06
"2",1554833700,0
"3",1554924600,0.08
"4",1555016400,0
"5",1555078740,0
"6",1555165620,0.15
"7",1555275840,0.29
"8",1555350240,0.15
"9",1555431000,0.12
"10",1555522020,0.09
"11",1555591080,0.09
"12",1555688220,NA
"13",1555783320,0.15
"14",1555855980,0.12
"15",1555964100,0.8
"16",1556032800,4.26
"17",1556147160,3.32
"18",1556212080,1.5
"19",1556312280,0.97
"20",1556384820,1.01
"21",1556476020,0.52
"22",1556565120,0.9
"23",1556643600,0.85
"24",1556730900,0.52
"25",1556817540,0.59
"26",1556896140,1.98
"27",1557003060,1.12
"28",1557079680,1.33
"29",1557155400,2.44
"30",1557259620,2.56
"31",1557334920,1.63
"32",1557426660,2.18
"33",1557515700,2.56
"34",1557584520,1.4
"35",1557688440,1.05
"36",1557757440,1.84
"37",1557861420,1.95
"38",1557954000,0.8
"39",1558023360,1.82
"40",1558114020,1.62
"41",1558189260,0.7
"42",1558288920,1.03
"43",1558382880,2.38
"44",1558454820,1.17
"45",1558552740,1.57
"46",1558631400,1.62
"47",1558730220,0.72
"48",1558814400,0.63
"49",1558893600,0.33
"50",1558985400,0.27
"51",1559066640,1.3
"52",1559138580,2.01
"53",1559246400,1.33
"54",1559313000,2.02
"55",1559417640,0.49
"56",1559499300,0.1
"57",1559592660,1.3
"58",1559664720,1.75
"59",1559741400,1.75
"60",1559826540,1.57
"61",1559910300,1.65
"62",1560024480,1.39
"63",1560103800,0.77
"64",1560182640,1.42
"65",1560283920,1.56
"66",1560373200,1.89
"67",1560434940,1.58
"68",1560535260,1.03
"69",1560610680,1.17
"70",1560697980,1.15
"71",1560787560,1.03
"72",1560868380,1.22
"73",1560947400,1.22
"74",1561063380,1.42
"75",1561145520,2.01
"76",1561226400,1.45
"77",1561293000,1.45
"78",1561400700,2.17
"79",1561468020,2.17
"80",1561554900,3.6
"81",1561651680,2.65
"82",1561734840,2.67
"83",1561842060,2.58
"84",1561900680,2.58
"85",1561986600,3.35
"86",1562080500,1.66
"87",1562170380,1.08
"88",1562260620,1.54
"89",1562331720,1.54
"90",1562443260,1.83
"91",1562513520,1.79
"92",1562591640,1.79
"93",1562702400,1.38
"94",1562792400,2.54
"95",1562878800,1.41
"96",1562961600,1.79
"97",1563034500,1.4
"98",1563138000,2.12
"99",1563202860,2.14
"100",1563280740,2.14
"101",1563368640,0.32
"102",1563454800,0
"103",1563563340,0
"104",1563632160,0.12
"105",1563712440,0.12
"106",1563829560,0
"107",1563885480,0
"108",1563984000,0.05
"109",1564085100,0
"110",1564153920,0
"111",1564254780,0.08
"112",1564317300,0.08
"113",1564405620,0.1
"114",1564511280,0.36
"115",1564576680,0.36
"116",1564672260,0.63
"117",1564772580,0.48
"118",1564858380,0.51
"119",1564949760,0.48
"120",1565021820,0.85
"121",1565101980,0.29
"122",1565197380,0.84
"123",1565327160,0.61
"124",1565331000,0.61
"125",1565420520,0.47
"126",1565544540,0.5
"127",1565636880,0.73
"128",1565704860,0.72
"129",1565792820,0.87
"130",1565874900,0.87
"131",1565965860,1.53
"132",1566075720,0.65
"133",1566144840,1.21
"134",1566230880,3.27
"135",1566313920,0.52
"136",1566407280,2.66
"137",1566504780,0.19
"138",1566566640,0.19
"139",1566659160,1.09
"140",1566735840,1.09
"141",1566851160,0.49
"142",1566911280,0.49
"143",1566997740,1.06
"144",1567094520,0.88
"145",1567168260,0.88
"146",1567254360,1.83
"147",1567353840,0.29
"148",1567452240,1.63
"149",1567520040,0.59
"150",1567625100,0.9
"151",1567708560,0.2
"152",1567780800,0.28
"153",1567872780,0.14
"154",1567952340,1.06
"155",1568038260,0.31
"156",1568122020,0.31
"157",1568261520,0.79
"158",1568315580,0.61
"159",1568362740,0.61
"160",1568491020,0.29
"161",1568563800,0.4
"162",1568639220,0.4
"163",1568729460,0.16
"164",1568816340,0.05
"165",1568895900,0.05
"166",1568990040,0.11
"167",1569099480,0.21
"168",1569168300,0.06
"169",1569248820,0.06
"170",1569329400,0.06
"171",1569421680,0
"172",1569514740,0
"173",1569616200,0.33
"174",1569697440,0.38
"175",1569791100,0.19
"176",1569870720,0.18
"177",1569937320,0.18
"178",1570040220,0.63
"179",1570109820,0.63
"180",1570204920,0.15
"181",1570291560,0.24
"182",1570395660,0.29
"183",1570478460,0.07
"184",1570538040,0.07
"185",1570636860,0.07
"186",1570734060,0.69
"187",1570825140,0.87
"188",1570885800,0.87
"189",1570997520,0.16
"190",1571056260,0.16
"191",1571159580,1.08
"192",1571245740,0.69
"193",1571339820,0.2
"194",1571425320,0.38
"195",1571509260,0.41
"196",1571586540,0.51
"197",1571702400,0.35
"198",1571747580,0.35
"199",1571855160,0.91
"200",1571947320,1.29
"201",1572023280,0.9
"202",1572120300,0.57
"203",1572193380,0.66
"204",1572295020,0.87
"205",1572353040,0.87
"206",1572444120,0.44
"207",1572529140,0.44
"208",1572627600,1.36
"209",1572711300,1.39
"210",1572798000,2.59
"211",1572891780,0.91
"212",1572980640,0.25
"213",1573065720,0.44
"214",1573150800,0.6
"215",1573228080,0.57
"216",1573323420,0.92
"217",1573423320,0.87
"218",1573502700,0.32
"219",1573588800,0.81
"220",1573661220,0.52
"221",1573755300,0.5
"222",1573834620,0.63
"223",1573915320,0.63
"224",1574024820,0.75
"225",1574101920,0.61
"226",1574174040,0.61
"227",1574257200,0.48
"228",1574347080,0.9
"229",1574442300,0.28
"230",1574543220,0.37
"231",1574627580,0.23
"232",1574698920,0.71
"233",1574805840,0.32
"234",1574879100,0.71
"235",1574967540,0.87
"236",1575034080,0.87
"237",1575144480,0.43
"238",1575227940,0.55
"239",1575320400,0.37
"240",1575470100,0.13
"241",1575559740,0.34
"242",1575667080,0.26
"243",1575742260,0.33
"244",1575820860,0.61
"245",1575922380,0.68
"246",1575984600,0.68
"247",1576075020,0.23
"248",1576184880,0.53
"249",1576253700,1.37
"250",1576354380,1.76
"251",1576443720,1.71
"252",1576505400,1.71
"253",1576614540,1.41
"254",1576697340,0.87
"255",1576772460,1.55
"256",1576862340,1.09
"257",1576952220,1.09
"258",1577030700,1.25
"259",1577114400,0.56
"260",1577193660,0.56
"261",1577304840,1.59
"262",1577390880,1.25
"263",1577462580,1.66
"264",1577540640,1.66
"265",1577638140,0.78
"266",1577719020,NA
"267",1577812200,NA
"268",1577886960,NA
"269",1577991420,1.51
"270",1578081960,1.12
"271",1578168780,1.87
"272",1578255120,0.78
"273",1578347280,1.18
"274",1578407820,1.18
"275",1578506640,0.18
"276",1578589380,0.83
"277",1578682860,1.49
"278",1578767340,1.5
"279",1578852000,0.71
"280",1578947700,0.61
"281",1579036260,0.43
"282",1579104480,0.3
"283",1579184280,0.3
"284",1579270560,1.14
"285",1579353240,0.17
"286",1579465980,1.19
"287",1579531260,1.19
"288",1579635240,1.16
"289",1579726980,0.26
"290",1579814880,0.25
"291",1579872780,0.25
"292",1579969020,0.69
"293",1580059980,0.56
"294",1580142000,0.17
"295",1580238540,0.12
"296",1580329740,0.07
"297",1580421360,0.27
"298",1580484000,0.26
"299",1580577360,0.33
"300",1580667240,0.42
"301",1580753640,0.53
"302",1580853900,0.34
"303",1580934120,0.2
"304",1581015720,0.14
"305",1581087660,0.62
"306",1581185460,0.59
"307",1581266340,1.13
"308",1581367800,0.52
"309",1581458400,0.59
"310",1581531960,0.75
"311",1581627660,0.2
"312",1581711840,0
"313",1581782400,0.42
"314",1581860520,0.42
"315",1582032960,1.54
"316",1582149600,0.14
"317",1582233660,0.1
"318",1582291800,0.1
"319",1582405440,0.66
"320",1582478760,1.37
"321",1582579140,0.37
"322",1582657320,0.28
"323",1582740120,0.4
"324",1582812840,0.4
"325",1582927200,0.41
"326",1582989120,0.98
"327",1583069640,0.98
"328",1583162700,NA
