"","master.timestamps","file"
"1",1516290300,18
"2",1516396260,9
"3",1516649640,23
"4",1516738920,11
"5",1516816320,9
"6",1516896540,10
"7",1516995420,21
"8",1517256420,10
"9",1517341500,10
"10",1517411820,15
"11",1517505960,26
"12",1517601900,31
"13",1517851560,16
"14",1517941800,6
"15",1518117900,7
"16",1518210840,8
"17",1518543600,8
"18",1518719820,14
"19",1518812280,8
"20",1519154520,9
"21",1519324260,12
"22",1519414080,12
"23",1519764780,11
"24",1519831560,10
"25",1519926240,12
"26",1520370360,12
"27",1520545440,11
"28",1520610060,11
"29",1520876400,12
"30",1520970840,13
"31",1521146220,11
"32",1521404700,15
"33",1521484500,13
"34",1521493260,13
"35",1521567060,12
"36",1521650160,12
"37",1521741360,13
"38",1521829860,9
"39",1521907020,12
"40",1521998040,10
"41",1522084380,13
"42",1522172580,9
"43",1522258380,11
"44",1522347000,10
"45",1522426800,18
"46",1522510260,12
"47",1522596900,15
"48",1522692720,15
"49",1522776540,12
"50",1522861920,12
"51",1522958220,14
"52",1523031720,14
"53",1523114460,31
"54",1523208420,14
"55",1523303160,13
"56",1523376540,NA
"57",1523465160,20
"58",1523551740,13
"59",1523639940,19
"60",1523722380,14
"61",1523809380,19
"62",1523908260,21
"63",1523986860,16
"64",1524070200,12
"65",1524160440,15
"66",1524244920,27
"67",1524333060,21
"68",1524412380,15
"69",1524506400,16
"70",1524592080,25
"71",1524674640,22
"72",1524759480,15
"73",1524853980,15
"74",1524933960,13
"75",1525017000,14
"76",1525117620,19
"77",1525192800,15
"78",1525276020,17
"79",1525365600,15
"80",1525452720,26
"81",1525539360,12
"82",1525621440,13
"83",1525711740,12
"84",1525801080,11
"85",1525883760,12
"86",1525932060,12
"87",1526055420,12
"88",1526143080,11
"89",1526229420,11
"90",1526314980,25
"91",1526399820,11
"92",1526497320,NA
"93",1526572320,10
"94",1526666700,9
"95",1526745600,9
"96",1526829000,10
"97",1526919780,8
"98",1527009960,7
"99",1527097380,9
"100",1527182100,31
"101",1527269820,7
"102",1527347760,15
"103",1527436740,11
"104",1527523020,83
"105",1527615420,14
"106",1527703200,27
"107",1527786720,11
"108",1527873360,9
"109",1527961620,10
"110",1528041720,25
"111",1528130160,10
"112",1528216740,15
"113",1528304820,9
"114",1528381380,12
"115",1528487400,11
"116",1528555920,11
"117",1528635540,11
"118",1528750920,17
"119",1528810080,17
"120",1528822200,18
"121",1528908000,40
"122",1528908060,40
"123",1528918140,40
"124",1528989360,10
"125",1529092560,14
"126",1529178240,18
"127",1529262960,12
"128",1529351280,14
"129",1529436180,14
"130",1529441100,14
"131",1529501160,14
"132",1529608380,77
"133",1529671500,77
"134",1529775540,10
"135",1529858640,12
"136",1529950500,14
"137",1530039780,NA
"138",1530102780,NA
"139",1530215460,NA
"140",1530277140,NA
"141",1530364680,NA
"142",1530469680,NA
"143",1530558180,NA
"144",1530630000,NA
"145",1530732300,NA
"146",1530796560,NA
"147",1530894720,NA
"148",1530977520,16
"149",1531073400,16
"150",1531164120,NA
"151",1531229220,NA
"152",1531329420,NA
"153",1531399500,NA
"154",1531506780,NA
"155",1531597980,13
"156",1531661100,13
"157",1531746000,14
"158",1531831620,NA
"159",1531923060,NA
"160",1532006520,NA
"161",1532115660,NA
"162",1532189820,14
"163",1532284620,10
"164",1532374620,NA
"165",1532439240,NA
"166",1532527140,10
"167",1532614140,8
"168",1532671200,8
"169",1532784420,NA
"170",1532885880,10
"171",1532954400,10
"172",1533046140,11
"173",1533216060,NA
"174",1533308580,NA
"175",1533410280,NA
"176",1533486300,20
"177",1533561420,20
"178",1533650880,10
"179",1533731820,10
"180",1533821220,NA
"181",1533928980,NA
"182",1534001100,9
"183",1534101360,17
"184",1534189200,NA
"185",1534252980,NA
"186",1534356120,NA
"187",1534431720,12
"188",1534512780,12
"189",1534704000,12
"190",1534770120,12
"191",1534868880,16
"192",1534945200,16
"193",1535035200,14
"194",1535138040,NA
"195",1535215680,8
"196",1535309640,25
"197",1535379900,NA
"198",1535464620,NA
"199",1535562300,NA
"200",1535658240,9
"201",1535744700,NA
"202",1535821320,17
"203",1535896740,17
"204",1535978880,9
"205",1536090840,12
"206",1536171840,NA
"207",1536262680,32
"208",1536339480,NA
"209",1536435480,10
"210",1536499560,10
"211",1536585240,12
"212",1536692640,11
"213",1536781260,NA
"214",1536865680,14
"215",1536952200,NA
"216",1537025880,11
"217",1537115100,NA
"218",1537216020,NA
"219",1537298520,10
"220",1537387320,NA
"221",1537473360,9
"222",1537555920,NA
"223",1537637880,8
"224",1537720200,35
"225",1537817820,NA
"226",1537904940,12
"227",1537983180,NA
"228",1538079840,NA
"229",1538163780,NA
"230",1538250000,NA
"231",1538337420,NA
"232",1538427420,NA
"233",1538512080,NA
"234",1538598360,NA
"235",1538680980,NA
"236",1538748720,NA
"237",1538855880,NA
"238",1538936700,NA
"239",1539030540,NA
"240",1539091200,NA
"241",1539179520,NA
"242",1539288300,NA
"243",1539363840,NA
"244",1539443280,NA
"245",1539545880,NA
"246",1539627660,NA
"247",1539713520,18
"248",1539808200,NA
"249",1539875700,5
"250",1539955860,5
"251",1540069440,8
"252",1540139640,6
"253",1540228200,NA
"254",1540320180,11
"255",1540396020,NA
"256",1540480740,11
"257",1540559160,11
"258",1540644240,NA
"259",1540735320,8
"260",1540816920,8
"261",1540908840,20
"262",1540993560,20
"263",1541088240,7
"264",1541162640,7
"265",1541272680,10
"266",1541342160,NA
"267",1541455440,NA
"268",1541513100,NA
"269",1541600940,31
"270",1541707680,8
"271",1541779620,NA
"272",1541856960,NA
"273",1541971920,10
"274",1542046080,NA
"275",1542122580,NA
"276",1542227280,NA
"277",1542319440,7
"278",1542384300,NA
"279",1542464520,NA
"280",1542564780,8
"281",1542648000,NA
"282",1542720900,NA
"283",1542807660,8
"284",1542913380,7
"285",1542997140,NA
"286",1543075980,5
"287",1543183440,5
"288",1543263660,NA
"289",1543336740,6
"290",1543443060,NA
"291",1543504200,7
"292",1543602060,NA
"293",1543699260,6
"294",1543758000,6
"295",1543849380,NA
"296",1543950780,NA
"297",1544026500,NA
"298",1544121180,NA
"299",1544206800,NA
"300",1544286600,NA
"301",1544363220,NA
"302",1544479500,NA
"303",1544543100,9
"304",1544635500,NA
"305",1544708160,NA
"306",1544821560,NA
"307",1544887980,14
"308",1544995320,13
"309",1545054180,13
"310",1545152820,6
"311",1545238980,NA
"312",1545343740,27
"313",1545426540,NA
"314",1545509220,10
"315",1545578040,15
"316",1545674520,NA
"317",1545761100,8
"318",1545855120,NA
"319",1545948300,18
"320",1546017120,NA
"321",1546114140,14
"322",1546203840,7
"323",1546266240,7
"324",1546374300,16
"325",1546438620,16
"326",1546532580,8
"327",1546636200,NA
"328",1546722840,7
"329",1546791660,8
"330",1546885800,NA
"331",1546976340,6
"332",1547048220,NA
"333",1547130000,NA
"334",1547234640,NA
"335",1547317260,9
"336",1547386800,9
"337",1547473440,12
"338",1547572620,8
"339",1547656620,NA
"340",1547738880,9
"341",1547839140,NA
"342",1547915640,11
"343",1548000720,10
"344",1548078000,10
"345",1548174540,16
"346",1548278100,NA
"347",1548336960,NA
"348",1548433620,NA
"349",1548510300,NA
"350",1548626760,16
"351",1548698760,NA
"352",1548795900,20
"353",1548868320,NA
"354",1548943800,NA
"355",1549047180,NA
"356",1549141920,13
"357",1549213380,11
"358",1549318080,NA
"359",1549404240,12
"360",1549470180,NA
