"","date.time","PAA.PROFILE.DATA.ecoli$COMMON_NAME","PAA.PROFILE.DATA.ecoli$NUMERIC_RESULT"
"1",2019-07-30 13:08:00,"3 N_PREPAA","26"
"2",2019-07-30 10:55:00,"2 N_PREPAA","25"
"3",2019-07-30 07:34:00,"1 N_PREPAA","22"
"4",2019-07-29 12:53:00,"3 N_PREPAA","20"
"5",2019-07-29 11:03:00,"2 N_PREPAA","22"
"6",2019-07-29 07:35:00,"1 N_PREPAA","24"
"7",2019-07-25 13:02:00,"3 N_PREPAA","23"
"8",2019-07-25 10:51:00,"2 N_PREPAA","30"
"9",2019-07-25 07:42:00,"1 N_PREPAA","23"
"10",2019-07-24 12:57:00,"3 N_PREPAA","22"
"11",2019-07-24 10:54:00,"2 N_PREPAA","27"
"12",2019-07-24 08:05:00,"1 N_PREPAA","31"
"13",2019-07-23 12:54:00,"3 N_PREPAA","19"
"14",2019-07-23 10:55:00,"2 N_PREPAA","26"
"15",2019-07-23 07:27:00,"1 N_PREPAA","22"
"16",2019-07-22 12:59:00,"3 N_PREPAA","18"
"17",2019-07-22 10:57:00,"2 N_PREPAA","28"
"18",2019-07-22 07:27:00,"1 N_PREPAA","27"
"19",2019-07-20 13:05:00,"3 N_PREPAA","26"
"20",2019-07-20 11:09:00,"2 N_PREPAA","16"
"21",2019-07-20 07:28:00,"1 N_PREPAA","26"
"22",2019-07-18 13:02:00,"3 N_PREPAA","32"
"23",2019-07-18 11:06:00,"2 N_PREPAA","26"
"24",2019-07-18 07:29:00,"1 N_PREPAA","26"
"25",2019-07-15 13:00:00,"3 N_PREPAA","19"
"26",2019-07-15 11:03:00,"2 N_PREPAA","19"
"27",2019-07-15 07:35:00,"1 N_PREPAA","24"
"28",2019-07-14 13:04:00,"3 N_PREPAA","19"
"29",2019-07-14 11:05:00,"2 N_PREPAA","22"
"30",2019-07-14 07:35:00,"1 N_PREPAA","27"
"31",2019-07-12 13:00:00,"3 N_PREPAA","20"
"32",2019-07-12 11:00:00,"2 N_PREPAA","22"
"33",2019-07-12 07:29:00,"1 N_PREPAA","25"
"34",2019-07-11 12:56:00,"3 N_PREPAA","20"
"35",2019-07-11 10:58:00,"2 N_PREPAA","23"
"36",2019-07-11 07:32:00,"1 N_PREPAA","24"
"37",2019-07-10 12:57:00,"3 N_PREPAA","23"
"38",2019-07-10 11:08:00,"2 N_PREPAA","24"
"39",2019-07-10 07:33:00,"1 N_PREPAA","23"
"40",2019-07-08 13:08:00,"3 N_PREPAA","19"
"41",2019-07-08 11:03:00,"2 N_PREPAA","21"
"42",2019-07-08 07:35:00,"1 N_PREPAA","25"
"43",2019-07-02 13:00:00,"3 N_PREPAA","25"
"44",2019-07-02 11:07:00,"2 N_PREPAA","20"
"45",2019-07-02 07:22:00,"1 N_PREPAA","23"
"46",2019-07-01 13:03:00,"3 N_PREPAA","21"
"47",2019-07-01 11:02:00,"2 N_PREPAA","22"
"48",2019-07-01 07:42:00,"1 N_PREPAA","22"
"49",2019-06-28 13:15:00,"3 N_PREPAA","21"
"50",2019-06-28 11:08:00,"2 N_PREPAA","24"
"51",2019-06-28 07:27:00,"1 N_PREPAA","27"
"52",2019-06-27 13:18:00,"3 N_PREPAA","21"
"53",2019-06-27 11:04:00,"2 N_PREPAA","24"
"54",2019-06-27 07:38:00,"1 N_PREPAA","27"
"55",2019-06-25 13:02:00,"3 N_PREPAA","23"
"56",2019-06-25 10:59:00,"2 N_PREPAA","23"
"57",2019-06-25 07:47:00,"1 N_PREPAA","24"
"58",2019-06-24 12:57:00,"3 N_PREPAA","23"
"59",2019-06-24 10:53:00,"2 N_PREPAA","21"
"60",2019-06-24 07:38:00,"1 N_PREPAA","24"
